element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
178,Welbeck,FWD,24,2,0.0,0.62,6.47,11.28,20.65,4.01,0.68,0.03,1.87,-0.37,-0.03,-0.64,48.67,62.83,-64936.17,570246.67,True,9
178,Welbeck,FWD,25,1,0.26,0.52,5.98,12.33,29.65,4.16,0.72,0.04,1.49,-0.46,-0.04,-0.45,57.67,62.5,-17887.0,560998.5,True,8
178,Welbeck,FWD,26,2,0.32,0.32,7.0,10.53,28.3,4.77,0.37,0.03,1.32,-0.37,-0.03,-0.68,47.17,62.33,-14896.83,548590.83,False,2
178,Welbeck,FWD,27,9,0.52,0.26,7.59,11.85,26.16,4.71,0.32,0.03,1.21,-0.32,-0.03,-0.69,57.33,62.17,-27670.5,520591.83,False,5
178,Welbeck,FWD,28,9,0.64,0.21,12.61,12.38,28.86,4.06,0.34,0.03,1.12,-0.12,-0.03,-0.69,70.17,61.83,-17132.5,505524.17,True,16
178,Welbeck,FWD,29,1,0.62,0.0,20.28,13.08,31.03,4.76,0.4,0.07,1.0,0.01,-0.07,-0.59,72.5,61.67,-8501.67,498817.17,True,1
178,Welbeck,FWD,30,2,0.73,0.0,23.17,14.34,31.22,4.88,0.33,0.09,0.98,0.16,-0.09,-0.73,61.5,61.5,-8110.33,491747.67,False,17
178,Welbeck,FWD,31,12,0.69,0.0,22.85,14.22,23.08,5.08,0.21,0.09,1.02,0.25,-0.09,-0.79,65.0,61.33,-5231.67,487422.17,True,12
178,Welbeck,FWD,32,2,0.6,0.2,31.59,17.23,34.77,4.57,0.39,0.11,1.0,0.4,-0.11,-0.6,75.5,61.17,-183.83,488620.17,False,3
178,Welbeck,FWD,33,2,0.6,0.2,31.81,17.23,50.94,5.03,0.6,0.11,1.08,0.21,-0.11,-0.68,74.5,61.17,86630.17,579081.67,False,18
178,Welbeck,FWD,33,6,0.42,0.21,27.35,15.39,49.07,5.64,0.59,0.11,0.99,0.04,-0.11,-0.36,71.83,61.5,119737.17,720528.33,True,7
178,Welbeck,FWD,35,5,0.52,0.26,30.78,13.76,57.67,5.17,0.7,0.07,0.99,0.08,-0.07,-0.47,58.0,61.83,146654.67,858025.5,False,15
178,Welbeck,FWD,36,2,0.44,0.22,30.52,14.68,51.08,5.75,0.62,0.07,1.27,0.05,0.15,-0.39,67.83,62.17,147182.83,945754.5,True,20
178,Welbeck,FWD,37,2,0.46,0.23,31.91,12.7,65.2,5.05,0.68,0.05,1.22,0.01,0.18,-0.3,65.33,62.67,184754.33,1073633.17,False,11
178,Welbeck,FWD,38,1,0.72,0.0,19.73,8.3,53.66,5.53,0.5,0.03,1.09,-0.26,0.21,-0.37,62.33,63.17,172970.5,1185971.33,True,14
215,Flemming,FWD,12,2,0.28,0.56,28.7,5.91,28.7,5.57,0.29,0.02,2.18,0.55,-0.02,-0.78,53.83,53.17,2973.5,18448.5,True,7
215,Flemming,FWD,13,6,0.23,0.46,23.08,7.89,23.77,4.85,0.24,0.02,1.98,0.45,-0.02,-0.59,65.0,53.0,4523.5,23666.5,False,5
215,Flemming,FWD,14,1,0.19,0.38,22.69,6.75,25.17,4.39,0.36,0.02,2.17,0.4,-0.02,-0.45,78.67,53.0,4753.33,29183.33,True,8
215,Flemming,FWD,15,5,0.0,0.4,23.59,7.04,29.54,3.96,0.38,0.02,2.1,0.41,-0.02,-0.11,75.67,53.0,5775.5,35875.0,False,15
215,Flemming,FWD,16,1,0.0,0.49,15.9,5.99,26.9,3.91,0.55,0.02,1.98,0.18,-0.02,-0.02,61.33,53.0,5452.5,42128.83,True,10
215,Flemming,FWD,17,1,0.0,0.28,19.07,6.53,33.36,4.21,0.64,0.02,1.67,0.2,-0.02,0.01,53.5,53.0,9953.67,53316.17,False,4
215,Flemming,FWD,18,1,0.29,0.29,13.14,7.83,29.14,3.14,0.6,0.03,1.62,-0.03,-0.03,-0.19,52.5,53.0,8399.0,62260.5,True,9
215,Flemming,FWD,28,6,0.28,0.28,12.34,6.87,29.16,5.61,0.26,0.02,1.74,0.02,-0.02,-0.06,53.5,53.0,-1629.17,50364.0,True,5
215,Flemming,FWD,30,2,0.0,0.0,19.71,5.47,32.42,6.22,0.32,0.01,1.87,0.2,-0.01,0.46,57.83,53.0,-403.5,42652.83,True,4
215,Flemming,FWD,31,7,0.21,0.0,15.83,9.04,31.67,6.25,0.44,0.02,1.84,-0.02,-0.02,0.03,72.0,53.0,-219.0,36529.83,False,10
215,Flemming,FWD,32,2,0.18,0.0,19.82,12.22,34.18,6.18,0.52,0.03,2.04,0.03,-0.03,-0.04,82.5,53.0,586.67,38483.17,True,6
215,Flemming,FWD,33,7,0.17,0.0,19.42,11.39,27.92,5.72,0.45,0.02,2.11,0.07,-0.02,-0.2,86.5,53.0,1311.83,41280.0,False,16
215,Flemming,FWD,33,2,0.17,0.0,23.77,11.12,29.89,5.77,0.44,0.02,1.99,0.23,-0.02,0.05,88.33,53.0,1256.83,44597.5,True,13
215,Flemming,FWD,35,2,0.17,0.0,18.83,9.81,28.5,5.7,0.48,0.02,2.09,0.04,-0.02,-0.02,86.83,53.0,1040.33,47915.17,False,11
215,Flemming,FWD,36,5,0.18,0.0,14.58,11.35,25.26,5.34,0.44,0.03,2.07,-0.08,-0.03,0.07,84.33,53.0,-477.5,48368.83,True,2
215,Flemming,FWD,37,1,0.0,0.18,18.07,7.55,27.29,5.24,0.46,0.01,2.04,0.08,-0.01,0.49,83.0,53.0,161.17,48260.5,False,1
215,Flemming,FWD,38,9,0.0,0.36,13.55,5.13,20.6,5.06,0.33,0.02,1.7,0.04,-0.02,0.47,83.0,53.0,53.83,48053.17,True,20
217,Foster,FWD,4,2,0.36,0.36,14.52,10.74,14.15,5.08,0.26,0.02,2.32,0.1,-0.02,-0.14,82.67,50.0,3797.33,52208.33,True,12
217,Foster,FWD,5,6,0.54,0.27,13.78,8.35,11.08,6.22,0.2,0.01,2.12,0.07,-0.01,-0.49,83.25,50.0,10743.25,65766.0,True,16
217,Foster,FWD,6,2,0.43,0.22,16.79,11.54,10.77,6.03,0.16,0.02,1.91,0.05,0.2,-0.4,83.6,50.0,21122.0,88231.0,False,13
217,Foster,FWD,7,1,0.36,0.18,15.21,11.81,11.41,5.61,0.17,0.02,1.83,0.01,0.16,-0.02,82.83,50.0,27522.33,113810.0,False,2
217,Foster,FWD,9,7,0.37,0.37,13.9,8.01,10.43,5.12,0.13,0.02,1.67,0.05,0.17,-0.03,82.0,50.0,32401.67,154208.83,False,20
217,Foster,FWD,12,1,0.21,0.43,21.64,10.76,15.0,4.93,0.23,0.02,1.87,0.2,0.2,0.06,70.0,50.0,21837.33,181315.67,True,7
217,Foster,FWD,13,2,0.26,0.26,19.66,13.06,12.16,4.66,0.15,0.03,1.55,0.11,0.23,0.26,58.0,50.0,18953.5,202241.33,False,5
217,Foster,FWD,14,2,0.27,0.27,19.76,13.25,13.62,4.27,0.15,0.03,1.62,0.11,0.24,0.25,56.17,50.0,11374.0,213624.0,True,8
217,Foster,FWD,15,1,0.26,0.26,12.37,7.68,17.63,3.95,0.21,0.03,1.48,0.05,-0.03,0.36,57.0,50.0,-430.83,212304.0,False,15
217,Foster,FWD,16,2,0.29,0.29,12.56,8.24,17.24,3.51,0.19,0.04,1.69,0.11,-0.04,0.07,51.33,50.0,-11592.83,199257.17,True,10
217,Foster,FWD,21,0,0.3,0.0,14.95,12.11,17.94,5.38,0.2,0.04,2.0,0.1,-0.04,0.09,50.17,50.0,-18446.83,179140.67,True,14
217,Foster,FWD,22,1,0.3,0.3,5.66,9.18,12.81,5.96,0.09,0.04,2.09,-0.09,-0.04,-0.0,50.33,49.83,-10504.33,158487.17,False,12
217,Foster,FWD,23,5,0.3,0.3,5.7,8.16,12.3,6.0,0.09,0.03,2.09,-0.09,-0.03,-0.29,50.0,49.67,-7641.0,143387.5,True,18
217,Foster,FWD,31,5,0.3,0.3,6.26,6.62,16.39,4.77,0.24,0.01,1.19,-0.24,-0.01,0.3,50.33,49.0,292.5,102796.17,False,10
217,Foster,FWD,33,1,0.28,0.28,8.8,10.31,15.62,5.68,0.23,0.03,1.46,-0.23,0.26,-0.04,52.83,49.0,-393.83,102445.33,False,16
217,Foster,FWD,33,1,0.28,0.28,8.72,10.35,25.03,6.47,0.25,0.03,1.53,-0.25,0.25,0.72,53.33,49.0,-882.83,101727.33,True,13
217,Foster,FWD,36,1,0.28,0.28,8.69,10.35,26.07,6.73,0.27,0.03,1.81,-0.27,0.25,0.44,53.5,49.0,-949.0,101116.83,True,2
249,João Pedro,FWD,4,7,0.71,0.0,38.21,17.86,38.93,5.71,0.48,0.05,0.84,0.23,0.66,-0.48,84.0,75.33,218267.67,5962308.0,False,5
249,João Pedro,FWD,5,2,0.55,0.0,36.0,18.6,32.73,5.18,0.41,0.05,0.83,0.14,0.77,-0.29,82.5,75.75,326518.0,6395043.25,False,14
249,João Pedro,FWD,6,2,0.43,0.0,29.79,17.83,27.43,4.71,0.32,0.04,1.05,0.11,0.6,-0.19,84.0,76.2,306740.0,6714789.0,True,6
249,João Pedro,FWD,7,2,0.35,0.0,25.59,20.06,22.59,4.94,0.26,0.04,1.27,0.09,0.49,-0.03,85.0,76.5,272002.67,6954846.83,True,12
249,João Pedro,FWD,8,2,0.18,0.0,25.71,19.46,20.43,4.93,0.22,0.04,1.43,0.13,0.49,-0.02,85.17,76.83,167332.5,7305796.5,False,16
249,João Pedro,FWD,9,2,0.35,0.0,17.44,18.74,14.09,4.58,0.15,0.05,1.72,0.02,0.12,-0.48,85.17,77.0,179912.33,7619278.0,True,17
249,João Pedro,FWD,10,9,0.18,0.0,10.34,18.96,6.24,3.56,0.04,0.06,1.77,-0.04,0.12,-0.34,84.17,76.83,-44151.33,7634825.67,False,18
249,João Pedro,FWD,11,7,0.35,0.0,13.4,19.38,20.37,4.53,0.34,0.07,1.62,-0.16,-0.07,-0.4,86.17,76.33,-401154.33,7266741.33,True,20
249,João Pedro,FWD,12,1,0.53,0.0,19.27,22.63,27.23,5.13,0.41,0.09,1.32,-0.06,-0.09,-0.44,84.83,75.67,-376110.67,6932804.83,False,3
249,João Pedro,FWD,13,1,0.73,0.18,19.13,22.04,30.06,5.83,0.46,0.11,1.02,-0.1,-0.11,-0.65,82.33,75.17,-372190.83,6593148.33,True,1
249,João Pedro,FWD,14,2,0.76,0.19,19.52,22.79,37.52,6.06,0.5,0.12,0.82,-0.13,-0.12,-0.63,79.17,74.83,-372159.33,6221387.67,False,11
249,João Pedro,FWD,15,1,0.57,0.19,18.76,24.84,39.41,6.44,0.51,0.14,0.9,-0.13,-0.14,-0.14,79.17,74.5,-377137.5,5860121.0,False,4
249,João Pedro,FWD,16,2,0.64,0.21,21.49,25.28,42.98,7.66,0.57,0.16,0.76,-0.15,-0.16,-0.13,70.5,74.33,-390573.83,5480120.0,True,9
249,João Pedro,FWD,17,6,0.65,0.22,13.08,24.62,26.37,6.32,0.19,0.14,0.94,0.02,-0.14,-0.29,68.83,74.17,-249394.0,5252744.0,False,15
249,João Pedro,FWD,18,8,0.43,0.43,11.54,22.43,20.95,5.56,0.22,0.12,1.41,-0.0,-0.12,-0.34,70.17,73.83,-372069.5,4883350.17,True,2
249,João Pedro,FWD,19,1,0.22,0.22,18.91,18.3,32.61,4.57,0.49,0.1,1.52,-0.06,-0.1,-0.21,69.0,73.33,-418023.0,4467277.5,True,4
249,João Pedro,FWD,20,2,0.23,0.23,20.7,20.07,29.77,5.35,0.51,0.1,1.62,-0.05,-0.1,-0.22,64.5,72.83,-313413.0,4200970.67,False,13
249,João Pedro,FWD,21,1,0.25,0.25,22.63,13.63,28.16,6.03,0.54,0.04,1.27,-0.03,-0.04,-0.27,59.67,72.5,-298530.0,3911158.67,False,10
249,João Pedro,FWD,22,8,0.26,0.26,22.7,14.38,29.56,4.75,0.56,0.04,1.48,-0.03,-0.04,-0.16,56.83,72.17,-222564.33,3701708.0,True,5
249,João Pedro,FWD,23,12,0.27,0.27,31.8,10.51,33.41,5.39,0.6,0.04,1.64,0.21,-0.04,-0.29,55.67,71.83,-138444.17,3572304.17,False,8
249,João Pedro,FWD,24,10,0.55,0.0,36.22,7.9,35.4,5.76,0.64,0.04,1.26,0.18,0.24,-0.43,54.67,71.67,-55706.0,3525442.83,True,19
249,João Pedro,FWD,25,8,0.59,0.3,39.84,11.92,30.98,5.9,0.41,0.07,1.31,0.48,0.52,-0.72,50.83,71.83,156141.33,3697563.67,False,20
249,João Pedro,FWD,26,10,0.51,0.26,40.65,10.23,27.1,5.88,0.35,0.05,1.27,0.42,0.97,-0.51,58.67,72.33,291189.5,3996018.83,True,11
249,João Pedro,FWD,27,7,0.47,0.24,42.52,12.33,38.5,4.25,0.56,0.07,1.3,0.38,1.11,-0.36,63.5,73.0,362525.67,4369550.33,True,3
249,João Pedro,FWD,28,2,0.61,0.2,41.87,13.53,42.47,4.45,0.73,0.07,1.08,0.28,0.94,-0.47,74.17,73.83,444715.83,4823905.5,False,1
249,João Pedro,FWD,29,19,0.39,0.19,33.51,13.15,36.23,4.09,0.79,0.07,1.01,-0.01,0.91,-0.04,77.0,74.83,427297.0,5253762.17,False,2
249,João Pedro,FWD,30,2,0.19,0.39,42.27,12.64,52.4,3.9,1.17,0.07,0.95,0.0,0.91,0.22,77.0,75.67,390580.83,5649295.83,True,15
249,João Pedro,FWD,31,2,0.18,0.18,33.2,10.97,43.85,4.26,1.02,0.04,1.01,-0.13,0.67,0.23,84.5,76.33,289438.33,5941414.0,False,9
249,João Pedro,FWD,32,2,0.18,0.18,29.47,13.16,44.65,3.35,1.02,0.07,1.03,-0.13,0.29,0.56,85.0,76.83,191950.5,6175259.33,True,13
249,João Pedro,FWD,35,8,0.18,0.18,26.41,10.33,37.19,3.41,0.88,0.04,1.15,-0.16,0.14,0.65,83.5,77.17,118905.5,6294957.67,True,16
249,João Pedro,FWD,36,2,0.0,0.18,25.66,10.14,37.27,3.16,0.73,0.04,1.42,-0.03,0.14,0.87,85.33,76.83,-8895.67,6152701.0,False,12
249,João Pedro,FWD,38,1,0.0,0.18,27.42,10.07,40.43,2.99,0.66,0.04,1.31,0.04,0.13,0.79,85.33,76.5,-24309.0,6000050.17,False,17
250,Delap,FWD,15,1,0.6,0.0,9.36,2.93,27.18,2.42,0.19,0.02,0.89,-0.19,-0.02,0.32,49.67,62.83,-18810.5,203917.17,False,4
250,Delap,FWD,19,2,0.65,0.33,8.15,2.61,25.76,1.96,0.19,0.02,1.06,-0.19,-0.02,0.24,46.0,62.0,1931.33,124937.17,True,4
250,Delap,FWD,20,0,0.3,0.3,5.72,2.74,25.59,2.41,0.27,0.02,1.85,-0.27,-0.02,-0.04,49.83,62.0,443.5,123244.67,False,13
250,Delap,FWD,22,4,0.0,0.57,11.96,9.97,41.87,2.56,0.58,0.03,1.75,-0.3,-0.03,0.24,52.67,62.0,203.33,118509.0,True,5
250,Delap,FWD,23,1,0.0,0.66,16.54,11.71,38.38,2.98,0.59,0.03,1.64,-0.26,0.3,0.01,45.33,62.0,508.83,116503.5,False,8
250,Delap,FWD,25,1,0.0,0.29,16.86,11.03,40.0,3.71,0.73,0.03,1.85,-0.44,0.55,0.15,52.5,62.0,1457.67,117111.83,False,20
250,Delap,FWD,37,1,0.0,0.33,4.3,5.23,18.53,4.3,0.26,0.01,1.29,-0.26,-0.01,0.04,45.33,62.0,-399.67,118746.33,True,18
250,Delap,FWD,38,1,0.0,0.57,2.57,4.97,10.29,2.57,0.16,0.01,1.53,-0.16,-0.01,-0.1,52.5,62.0,-327.83,118699.17,False,17
283,Mateta,FWD,4,2,0.69,0.69,12.41,1.72,20.69,5.17,0.43,0.11,1.17,-0.08,-0.11,-0.82,87.0,75.0,-39422.0,905392.33,True,17
283,Mateta,FWD,5,6,0.77,0.51,10.26,1.62,28.21,6.15,0.47,0.09,0.96,-0.21,-0.09,-0.71,87.75,75.0,93110.5,1057893.75,False,19
283,Mateta,FWD,6,2,0.61,0.41,13.88,1.96,30.61,6.33,0.54,0.07,0.9,-0.14,-0.07,-0.49,88.2,75.2,74042.0,1138316.2,True,12
283,Mateta,FWD,7,2,0.51,0.34,11.86,4.31,32.03,5.76,0.61,0.07,1.11,-0.27,-0.07,-0.6,88.5,75.33,15199.0,1140593.67,False,9
283,Mateta,FWD,8,17,0.53,0.18,11.65,4.62,33.88,4.76,0.69,0.08,0.95,-0.33,-0.08,-0.42,85.0,75.33,19258.67,1194729.33,True,4
283,Mateta,FWD,9,2,0.53,0.18,21.93,6.12,55.61,5.26,1.3,0.08,1.18,-0.42,-0.08,-0.31,85.5,75.33,22738.67,1238627.5,False,1
283,Mateta,FWD,10,9,0.35,0.0,18.9,5.81,52.2,4.86,1.17,0.03,1.16,-0.48,-0.03,-0.12,86.5,75.5,98151.33,1357517.67,True,5
283,Mateta,FWD,11,2,0.35,0.0,24.67,5.91,50.91,4.17,1.09,0.03,1.2,-0.22,-0.03,-0.15,86.33,76.0,185377.83,1549605.0,True,6
283,Mateta,FWD,12,1,0.52,0.0,21.37,10.06,45.69,3.82,0.96,0.05,1.15,-0.26,-0.05,-0.28,86.33,76.67,324037.17,1891631.5,False,20
283,Mateta,FWD,13,6,0.55,0.0,22.36,8.11,41.95,3.7,0.91,0.04,0.98,-0.18,-0.04,-0.24,81.17,77.5,431210.33,2351173.0,True,14
283,Mateta,FWD,14,2,0.35,0.0,23.92,7.9,40.39,4.07,0.95,0.04,1.08,-0.07,-0.04,-0.01,84.67,78.5,415845.83,2742795.67,False,3
283,Mateta,FWD,15,2,0.56,0.0,13.85,7.26,23.58,4.12,0.36,0.04,0.82,0.02,-0.04,-0.26,80.17,79.5,436656.0,3197566.5,False,10
283,Mateta,FWD,16,2,0.59,0.0,14.21,9.34,28.82,4.93,0.38,0.05,0.77,0.02,-0.05,-0.18,76.0,80.33,328452.67,3527376.83,True,13
283,Mateta,FWD,17,2,0.42,0.0,7.97,9.61,27.48,4.62,0.42,0.07,0.77,-0.21,-0.07,0.07,71.5,80.5,-86759.0,3428585.67,False,11
283,Mateta,FWD,18,2,0.22,0.0,9.11,6.27,27.76,5.42,0.43,0.05,1.26,-0.22,-0.05,0.25,69.17,80.17,-262131.5,3170414.17,True,18
283,Mateta,FWD,19,9,0.2,0.0,8.48,6.54,27.85,5.65,0.39,0.08,1.17,-0.19,-0.08,0.44,74.33,79.5,-375222.67,2787443.33,True,10
283,Mateta,FWD,20,2,0.2,0.0,10.9,6.24,28.86,6.05,0.29,0.08,1.32,-0.09,-0.08,0.09,74.33,78.83,-384313.17,2447281.67,False,15
283,Mateta,FWD,21,2,0.0,0.0,9.98,5.45,21.88,6.14,0.26,0.07,1.46,-0.07,-0.07,0.26,78.17,78.0,-410795.17,2040002.67,True,2
283,Mateta,FWD,22,2,0.18,0.0,9.47,3.24,16.94,6.01,0.22,0.06,1.6,-0.04,-0.06,-0.14,82.33,77.17,-370937.0,1687159.83,False,17
283,Mateta,FWD,23,2,0.17,0.0,10.52,5.72,18.79,6.55,0.23,0.07,1.76,-0.05,-0.07,-0.2,87.0,76.67,-140867.83,1568181.33,True,7
283,Mateta,FWD,30,1,0.17,0.0,8.15,3.96,20.89,5.43,0.29,0.07,1.67,-0.12,-0.07,-0.14,88.33,76.17,-115941.0,1456086.5,True,11
283,Mateta,FWD,32,12,0.19,0.0,9.19,3.83,22.21,5.55,0.29,0.04,1.73,-0.1,-0.04,-0.19,78.33,75.83,-65305.5,1328878.5,True,15
283,Mateta,FWD,33,1,0.22,0.0,16.0,6.51,25.56,6.0,0.46,0.05,1.58,-0.02,-0.05,-0.03,67.5,75.5,-44816.33,1216580.67,True,19
283,Mateta,FWD,34,2,0.26,0.0,17.74,7.82,28.8,5.91,0.5,0.05,1.48,0.01,-0.05,-0.19,58.33,75.33,-23381.67,1123023.33,False,12
283,Mateta,FWD,35,1,0.0,0.0,18.6,8.4,38.84,5.47,0.62,0.06,1.4,-0.07,-0.06,0.51,54.83,75.33,-7446.17,1047514.5,False,4
284,Nketiah,FWD,18,1,0.0,0.33,19.31,11.98,35.67,8.51,0.3,0.01,1.93,0.02,-0.01,0.68,45.83,54.0,5471.17,54602.0,True,18
310,Barry,FWD,13,2,0.6,0.3,0.0,9.36,9.36,3.93,0.26,0.01,1.23,-0.26,-0.01,-0.32,49.67,57.17,-1529.0,41168.0,True,15
310,Barry,FWD,14,2,0.53,0.27,1.33,8.89,14.6,2.92,0.31,0.01,1.42,-0.31,-0.01,0.18,56.5,57.0,-775.5,40831.33,False,4
310,Barry,FWD,15,5,0.67,0.22,0.22,12.35,22.56,2.23,0.43,0.02,1.05,-0.43,-0.02,0.29,67.17,57.0,-335.17,40816.17,True,16
310,Barry,FWD,16,2,0.82,0.41,4.7,11.41,24.55,2.45,0.46,0.02,0.91,-0.25,-0.02,0.11,73.33,57.0,273.0,41446.17,False,7
310,Barry,FWD,17,2,0.8,0.2,7.18,10.28,21.55,2.0,0.35,0.02,1.13,-0.15,-0.02,0.07,75.17,57.0,1337.83,43114.67,True,1
310,Barry,FWD,18,1,0.62,0.21,8.42,10.52,20.75,2.26,0.29,0.02,1.48,-0.08,-0.02,-0.04,73.0,57.0,1172.33,44536.17,False,3
310,Barry,FWD,19,6,0.48,0.24,9.76,10.64,27.62,2.14,0.35,0.02,1.5,-0.11,-0.02,0.16,63.0,57.0,2346.0,47400.5,False,16
310,Barry,FWD,20,6,0.72,0.24,15.32,10.41,26.57,2.39,0.41,0.02,1.37,0.07,-0.02,-0.65,62.67,57.0,1556.5,49069.33,True,5
310,Barry,FWD,21,2,0.47,0.23,22.56,5.05,26.74,3.02,0.25,0.01,1.8,0.45,-0.01,-0.17,64.5,57.0,2576.33,51944.0,True,20
310,Barry,FWD,22,8,0.22,0.0,17.91,5.2,21.84,3.71,0.16,0.0,1.77,0.27,-0.0,-0.02,68.67,57.0,8274.67,60969.83,False,2
310,Barry,FWD,23,9,0.42,0.0,22.92,7.44,28.81,4.0,0.18,0.0,1.65,0.45,-0.0,-0.39,71.33,57.0,4771.33,65787.17,True,11
310,Barry,FWD,24,2,0.4,0.0,27.14,6.84,36.32,4.19,0.21,0.01,1.42,0.58,-0.01,-0.23,75.17,57.0,8711.33,75058.17,False,6
310,Barry,FWD,25,2,0.35,0.0,24.28,9.8,28.61,3.47,0.17,0.04,1.43,0.52,-0.04,-0.22,86.5,57.0,18375.0,94159.0,False,10
310,Barry,FWD,26,2,0.18,0.0,20.22,10.41,30.6,3.4,0.18,0.04,1.57,0.35,-0.04,-0.14,83.83,57.0,18338.17,113086.83,True,4
310,Barry,FWD,27,2,0.19,0.0,14.81,12.15,24.68,3.42,0.34,0.04,1.31,0.04,-0.04,-0.36,79.0,57.0,16675.83,130283.17,True,14
310,Barry,FWD,28,6,0.19,0.0,13.74,12.31,23.72,2.82,0.33,0.04,1.43,0.05,-0.04,-0.49,79.67,57.0,7447.17,137789.17,False,15
310,Barry,FWD,29,1,0.0,0.22,15.33,11.76,27.59,3.5,0.56,0.05,1.41,-0.12,-0.05,-0.1,68.5,57.0,8239.0,146821.67,True,3
310,Barry,FWD,30,1,0.0,0.27,11.18,13.53,21.55,3.55,0.64,0.05,1.63,-0.36,-0.05,-0.27,55.0,57.0,5682.67,153254.33,False,1
311,Beto,FWD,4,2,0.0,0.47,17.91,8.2,25.45,2.83,0.39,0.04,1.73,0.08,-0.04,-0.79,63.67,54.67,-94623.67,767036.67,True,2
311,Beto,FWD,5,1,0.34,0.34,11.55,6.15,28.19,2.38,0.61,0.03,1.43,-0.27,-0.03,-0.75,66.25,54.5,-76195.5,732372.25,False,12
311,Beto,FWD,6,2,0.29,0.29,10.16,5.34,26.42,2.32,0.58,0.03,1.42,-0.29,-0.03,-0.26,62.0,54.4,-66801.0,706897.0,True,19
311,Beto,FWD,7,1,0.24,0.24,9.29,4.76,26.67,2.62,0.52,0.02,1.38,-0.28,-0.02,-0.19,63.0,54.33,-61399.67,685586.83,True,8
311,Beto,FWD,8,2,0.27,0.27,8.11,8.16,38.92,2.97,0.66,0.02,1.28,-0.39,-0.02,-0.2,55.5,54.17,-70743.17,629772.67,False,13
311,Beto,FWD,9,2,0.24,0.0,7.56,7.56,35.67,3.54,0.69,0.02,1.21,-0.45,-0.02,0.21,63.5,53.83,-68721.5,570024.67,True,18
311,Beto,FWD,10,1,0.24,0.0,1.94,6.96,36.63,4.61,0.69,0.0,1.48,-0.69,-0.0,0.21,61.83,53.67,-38809.67,540882.67,False,17
311,Beto,FWD,11,1,0.0,0.0,3.82,7.64,33.27,6.27,0.51,0.01,1.7,-0.51,-0.01,0.2,55.0,53.33,-39771.83,504949.67,True,10
311,Beto,FWD,12,1,0.0,0.0,3.95,8.97,38.31,6.99,0.57,0.01,1.7,-0.57,-0.01,-0.18,49.33,53.0,-37776.17,470383.5,False,14
311,Beto,FWD,31,16,0.64,0.32,20.67,11.7,36.57,7.0,0.48,0.01,0.78,-0.16,-0.01,-0.15,47.17,50.0,1416.33,314754.5,True,7
311,Beto,FWD,32,7,0.79,0.26,34.11,15.27,44.08,6.03,0.55,0.02,0.84,0.23,0.24,-0.31,57.17,50.0,789.33,315424.17,False,5
311,Beto,FWD,33,9,0.7,0.0,36.65,16.14,43.84,5.57,0.6,0.02,0.99,0.33,0.22,-0.53,64.67,50.0,8774.33,325260.83,True,12
311,Beto,FWD,35,1,0.6,0.0,37.08,14.41,51.11,5.61,0.61,0.01,1.07,0.39,0.19,-0.47,74.83,50.0,10242.33,335586.83,True,13
311,Beto,FWD,36,8,0.62,0.21,29.52,16.24,47.36,4.31,0.46,0.01,1.09,0.36,0.19,-0.48,73.17,50.0,5284.33,347537.33,False,8
311,Beto,FWD,37,2,0.42,0.21,34.65,14.89,51.13,3.8,0.47,0.01,1.45,0.58,0.2,-0.61,71.0,50.0,3358.0,357458.67,True,17
311,Beto,FWD,38,1,0.21,0.21,33.49,14.5,45.21,3.77,0.49,0.01,1.41,0.56,0.19,-0.36,71.67,50.0,14623.83,379576.33,False,18
337,Raúl,FWD,11,1,0.32,0.0,26.32,13.81,38.34,6.17,0.27,0.09,1.38,0.06,0.56,-0.41,46.17,62.67,-10809.83,118353.33,False,9
337,Raúl,FWD,12,6,0.27,0.0,22.5,11.74,37.59,5.76,0.29,0.08,1.4,-0.01,0.47,-0.31,54.67,62.33,-5991.67,111790.83,True,17
337,Raúl,FWD,13,1,0.44,0.22,24.04,14.01,44.12,5.29,0.44,0.07,1.15,-0.0,0.38,-0.27,68.0,62.17,-3853.83,107219.33,False,18
337,Raúl,FWD,14,2,0.37,0.37,16.6,12.14,30.8,5.72,0.36,0.06,1.12,-0.18,0.31,-0.2,81.33,62.0,-1699.17,104617.67,True,13
337,Raúl,FWD,15,5,0.38,0.38,16.62,12.61,31.91,5.54,0.39,0.06,1.22,-0.2,0.32,0.5,78.5,62.0,783.17,106578.67,True,8
337,Raúl,FWD,16,2,0.38,0.38,15.86,15.88,21.21,5.54,0.28,0.06,1.12,-0.09,0.32,0.6,78.5,62.0,1437.5,109186.67,False,3
337,Raúl,FWD,17,5,0.19,0.38,12.05,11.3,19.77,5.08,0.28,0.02,1.44,-0.09,0.17,0.44,79.67,62.17,40000.83,154120.0,True,16
337,Raúl,FWD,18,9,0.36,0.53,13.72,11.16,21.39,4.99,0.45,0.02,1.32,-0.1,0.16,0.29,84.17,62.33,37747.83,192275.5,False,19
