element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
64,Watkins,FWD,38,13,0.0,0.2,34.49,16.26,54.32,2.58,0.7,0.02,1.14,0.29,0.37,0.25,75.67,86.67,118081.5,1777702.17,False,13
97,Evanilson,FWD,4,5,0.7,0.35,16.11,23.74,29.42,3.85,0.28,0.03,0.96,0.07,-0.03,0.44,85.67,70.0,-730.33,229583.33,True,6
97,Evanilson,FWD,5,2,0.52,0.26,16.86,18.16,32.16,4.67,0.24,0.03,0.87,0.02,0.23,0.43,86.75,70.0,12992.25,246247.75,True,15
97,Evanilson,FWD,6,2,0.62,0.21,15.24,16.81,27.39,4.74,0.21,0.03,0.72,-0.01,0.18,0.31,87.4,70.0,21426.0,268900.0,False,11
97,Evanilson,FWD,7,2,0.51,0.17,13.49,16.12,24.08,4.44,0.18,0.04,0.91,-0.01,0.13,0.28,87.83,70.0,26900.83,294418.33,True,10
97,Evanilson,FWD,10,1,0.51,0.0,15.37,18.2,26.64,4.27,0.18,0.05,0.68,-0.01,0.12,-0.0,87.83,70.0,21749.83,328573.0,False,13
97,Evanilson,FWD,11,2,0.38,0.0,15.0,11.75,29.23,4.62,0.2,0.05,0.75,-0.01,0.14,0.02,78.0,70.0,4224.5,308331.33,False,2
97,Evanilson,FWD,12,5,0.19,0.0,8.92,10.2,20.56,4.07,0.15,0.05,0.95,-0.15,0.14,0.41,77.33,70.0,12864.0,300654.0,True,19
97,Evanilson,FWD,13,5,0.19,0.0,8.15,10.2,24.44,3.3,0.22,0.05,0.95,-0.22,0.14,0.6,77.33,70.0,5583.67,281579.0,False,17
97,Evanilson,FWD,14,1,0.0,0.0,9.54,8.4,34.97,3.18,0.39,0.05,1.19,-0.39,0.35,1.0,75.5,70.0,-2611.17,252823.0,True,9
97,Evanilson,FWD,15,2,0.0,0.0,9.41,11.71,39.03,3.44,0.45,0.06,1.09,-0.45,0.39,1.21,65.33,70.0,-10874.67,215011.5,True,7
97,Evanilson,FWD,16,6,0.23,0.0,6.49,9.16,33.63,2.78,0.59,0.06,1.11,-0.59,0.41,0.98,64.67,70.0,-7615.83,180363.67,False,14
97,Evanilson,FWD,17,2,0.21,0.0,12.56,8.53,33.98,2.88,0.58,0.06,1.5,-0.37,0.35,0.97,72.83,70.0,-1261.0,180426.0,True,3
97,Evanilson,FWD,18,1,0.43,0.0,13.4,10.74,33.19,2.77,0.54,0.06,1.31,-0.33,0.37,0.6,70.5,70.0,14657.83,200108.17,False,5
97,Evanilson,FWD,19,2,0.48,0.0,12.38,11.69,25.24,2.62,0.56,0.06,1.82,-0.32,0.18,0.32,63.0,70.0,7082.67,206629.0,False,7
97,Evanilson,FWD,20,7,0.47,0.0,11.13,13.9,16.34,2.61,0.35,0.08,2.02,-0.11,-0.08,-0.13,63.33,70.0,1265.83,208050.33,True,1
97,Evanilson,FWD,21,6,0.42,0.0,15.71,10.12,19.1,2.97,0.47,0.04,1.9,-0.05,-0.04,0.22,70.67,70.0,-1916.17,206549.17,True,18
97,Evanilson,FWD,22,2,0.22,0.0,23.12,13.33,24.91,3.37,0.33,0.05,1.87,0.34,-0.05,0.6,66.83,70.0,1817.5,209782.83,False,6
97,Evanilson,FWD,23,8,0.22,0.0,16.09,13.11,26.52,3.91,0.34,0.04,1.42,0.1,-0.04,0.53,69.0,70.0,4875.67,215896.33,True,12
97,Evanilson,FWD,24,2,0.0,0.0,20.57,12.46,33.8,4.68,0.52,0.03,1.52,0.1,-0.03,0.72,73.67,70.0,-10013.5,203013.0,False,20
97,Evanilson,FWD,25,2,0.19,0.0,19.46,13.25,30.69,5.05,0.42,0.03,1.21,0.14,-0.03,0.47,80.17,70.17,40322.83,249150.0,True,2
