element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_influence_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
16,Saka,MID,6,2,0.48,0.0,19.73,27.91,38.07,16.84,5.78,0.14,0.16,0.98,0.34,-0.16,-0.98,62.33,99.33,-17362.0,1296392.67,False,15
16,Saka,MID,7,8,0.35,0.0,17.93,21.94,31.82,22.85,5.98,0.13,0.12,0.9,0.22,-0.12,-0.55,64.0,99.0,29533.75,1123109.0,True,19
16,Saka,MID,8,7,0.52,0.0,18.99,26.32,29.68,24.97,6.24,0.32,0.38,0.79,0.2,-0.38,-0.53,69.2,98.8,98166.2,1100850.6,False,10
16,Saka,MID,9,3,0.62,0.0,20.85,26.83,40.13,28.9,7.43,0.27,0.41,0.72,0.15,-0.41,-0.51,72.67,98.83,170614.67,1177286.67,True,8
16,Saka,MID,10,3,0.66,0.0,22.34,26.32,39.39,29.78,8.32,0.25,0.42,0.45,0.18,-0.42,-0.23,68.5,98.83,245345.5,1245686.0,False,3
16,Saka,MID,11,12,0.8,0.0,15.63,18.48,34.84,31.07,7.22,0.33,0.39,0.46,-0.13,-0.39,-0.26,74.83,99.0,263130.5,1297573.17,False,17
16,Saka,MID,12,4,0.73,0.0,20.22,24.81,32.47,35.34,8.2,0.38,0.35,0.44,-0.02,-0.35,0.11,82.33,99.5,272383.83,1584245.67,True,18
16,Saka,MID,13,5,0.7,0.0,20.45,26.07,33.92,32.33,9.44,0.37,0.35,0.34,-0.02,-0.35,0.19,85.83,100.0,262419.33,1862169.17,False,7
16,Saka,MID,14,6,0.52,0.0,20.27,23.14,32.7,31.63,8.91,0.26,0.26,0.39,-0.09,-0.08,0.31,85.83,100.5,194466.83,2039151.17,True,5
16,Saka,MID,15,4,0.4,0.0,21.81,28.07,21.53,33.9,8.33,0.4,0.19,0.37,-0.0,0.01,0.42,75.67,100.83,112115.17,2158429.0,False,2
16,Saka,MID,16,11,0.19,0.19,23.13,29.29,29.49,39.31,8.09,0.5,0.24,0.6,-0.11,0.15,0.36,77.83,101.0,40904.5,2203877.17,True,20
16,Saka,MID,17,3,0.0,0.19,32.57,31.07,36.27,34.3,8.09,0.39,0.31,0.59,-0.01,0.46,0.56,77.83,101.17,95747.67,2319288.33,False,9
16,Saka,MID,18,7,0.19,0.19,28.14,24.59,33.03,31.61,6.94,0.35,0.28,0.55,-0.15,0.49,0.23,77.83,101.5,118562.5,2447325.0,True,6
16,Saka,MID,19,6,0.19,0.19,30.84,28.21,37.85,42.01,5.78,0.45,0.32,0.7,-0.26,0.64,0.08,77.83,101.83,82890.0,2530556.5,True,2
16,Saka,MID,20,4,0.39,0.2,29.22,24.39,37.8,40.39,5.88,0.49,0.22,0.68,-0.3,0.76,-0.1,76.5,102.17,76609.17,2626240.17,False,4
16,Saka,MID,21,3,0.4,0.2,29.01,21.34,45.1,35.96,5.56,0.39,0.27,0.69,-0.39,0.93,0.1,75.5,102.5,77337.5,2710888.67,True,12
16,Saka,MID,22,1,0.6,0.0,26.68,19.83,36.74,32.46,4.38,0.3,0.21,0.49,-0.3,0.79,0.11,75.33,102.67,46625.67,2763329.0,False,16
16,Saka,MID,23,2,0.68,0.0,21.42,22.06,39.6,38.73,5.24,0.36,0.23,0.5,-0.36,0.45,-0.04,65.83,102.67,-53153.17,2700178.83,True,14
16,Saka,MID,26,1,0.46,0.0,21.87,22.65,45.43,38.96,5.7,0.31,0.31,0.61,-0.31,0.37,0.53,65.83,102.33,-108260.33,2593096.5,False,5
16,Saka,MID,26,12,0.55,0.0,18.83,17.56,40.82,27.14,4.98,0.2,0.3,0.71,-0.2,0.25,0.67,54.17,101.67,-138821.83,2298821.0,False,20
16,Saka,MID,27,5,0.29,0.0,27.14,32.86,44.37,36.0,9.14,0.26,0.34,0.58,0.03,-0.05,1.13,52.5,101.0,-174532.83,2024941.67,False,18
16,Saka,MID,28,2,0.24,0.0,22.15,26.43,35.48,48.53,9.19,0.34,0.25,0.61,-0.11,-0.02,0.8,63.67,100.17,-187101.33,1725863.0,True,7
16,Saka,MID,29,9,0.0,0.0,22.1,25.43,36.73,43.29,10.25,0.31,0.31,0.76,-0.08,-0.08,0.83,65.83,99.5,-161305.5,1455953.83,False,6
16,Saka,MID,30,3,0.2,0.0,21.9,25.25,22.6,39.03,9.16,0.26,0.2,0.81,0.13,0.0,0.58,75.33,98.83,-135149.83,1211509.67,True,9
16,Saka,MID,34,1,0.4,0.0,20.51,23.42,19.47,39.42,8.96,0.28,0.13,0.88,0.12,0.07,-0.08,75.33,98.33,-88551.33,1013148.83,True,15
16,Saka,MID,35,11,0.41,0.0,21.02,24.41,22.02,41.84,9.18,0.3,0.13,0.76,0.11,0.07,-0.15,73.5,98.17,-45866.17,996626.33,True,10
16,Saka,MID,36,2,0.43,0.0,24.35,26.78,29.63,40.65,6.74,0.26,0.3,0.79,0.17,0.13,-0.36,69.0,98.0,12897.5,992213.67,False,19
16,Saka,MID,37,10,0.67,0.22,20.55,24.88,33.12,23.67,5.81,0.15,0.34,0.88,0.3,-0.11,-0.66,67.17,98.17,95066.0,1070372.0,True,3
17,Ødegaard,MID,4,1,0.61,0.0,14.69,12.73,16.47,13.47,10.41,0.09,0.21,1.19,-0.09,-0.21,-0.58,49.0,79.67,-42474.0,336359.33,True,16
17,Ødegaard,MID,17,3,0.32,0.0,19.4,21.43,43.82,13.36,7.63,0.09,0.24,1.05,-0.09,0.08,-0.09,47.17,78.33,3773.67,198761.33,False,9
17,Ødegaard,MID,18,10,0.5,0.0,14.17,15.02,44.3,11.44,5.97,0.07,0.16,0.85,-0.07,-0.16,-0.1,60.33,78.17,8065.0,196999.67,True,6
17,Ødegaard,MID,19,5,0.43,0.0,19.15,23.74,48.09,12.77,6.6,0.09,0.11,0.83,0.12,-0.11,0.02,70.5,78.0,5385.83,191853.83,True,2
17,Ødegaard,MID,20,7,0.38,0.0,21.75,26.81,50.36,18.94,7.31,0.13,0.2,1.18,0.06,-0.02,-0.25,80.0,78.0,8856.33,203179.5,False,4
17,Ødegaard,MID,21,3,0.19,0.0,24.37,28.75,46.78,18.81,7.48,0.14,0.22,1.42,0.06,0.16,-0.07,78.17,78.0,19022.33,224435.83,True,12
17,Ødegaard,MID,22,1,0.39,0.0,23.29,25.3,43.88,14.8,6.12,0.11,0.21,1.09,0.08,0.19,-0.1,76.0,78.0,20606.5,246565.33,False,16
17,Ødegaard,MID,23,4,0.38,0.0,22.55,24.95,41.07,12.4,5.64,0.08,0.28,1.07,0.1,0.1,-0.32,79.83,78.0,16092.17,263653.83,True,14
17,Ødegaard,MID,24,4,0.2,0.0,23.45,24.21,33.55,13.23,6.61,0.11,0.27,1.19,0.09,0.33,0.02,74.83,78.0,14564.33,279734.67,False,11
17,Ødegaard,MID,26,1,0.23,0.0,22.27,20.04,29.99,12.06,6.03,0.09,0.35,1.18,-0.09,0.58,-0.02,64.67,78.0,11533.5,292590.83,False,5
17,Ødegaard,MID,27,4,0.26,0.0,18.37,14.33,22.96,5.51,5.25,0.04,0.25,0.92,-0.04,0.54,0.39,57.17,78.0,1847.33,289939.33,False,18
17,Ødegaard,MID,33,2,0.32,0.0,19.49,15.4,23.75,5.85,4.55,0.05,0.27,0.82,-0.05,0.71,0.16,46.17,78.0,-10815.5,275078.5,False,13
17,Ødegaard,MID,34,3,0.0,0.0,18.93,15.95,34.51,4.97,6.21,0.04,0.35,1.11,-0.04,0.58,0.44,48.33,78.0,-13398.17,256412.33,True,15
17,Ødegaard,MID,36,4,0.28,0.0,21.11,18.33,39.61,8.06,7.22,0.05,0.24,1.21,-0.05,0.59,0.18,54.0,78.0,-12362.5,239795.83,False,19
17,Ødegaard,MID,37,3,0.31,0.0,24.52,26.07,47.05,8.38,7.45,0.02,0.29,1.45,-0.02,0.64,-0.52,48.33,78.0,-10295.33,224466.0,True,3
18,Madueke,MID,4,3,0.5,0.0,8.45,3.58,19.49,24.86,2.49,0.07,0.07,0.69,-0.07,-0.07,-0.19,60.33,70.0,-7486.0,107654.67,True,16
18,Madueke,MID,5,1,0.69,0.0,14.25,10.36,38.22,26.41,4.17,0.05,0.3,0.52,-0.05,-0.3,-0.17,64.75,70.0,8223.0,126256.75,True,13
