element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_saves_p90,roll_bps_p90,roll_expected_goals_conceded_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
627,Johnstone,GK,14,2,0.0,0.0,3.5,9.17,1.51,0.82,90.0,45.0,9.83,18836.33,True,16
627,Johnstone,GK,15,1,0.0,0.0,3.67,10.0,1.52,0.64,90.0,45.0,72.67,19136.0,True,14
627,Johnstone,GK,16,-1,0.0,0.0,3.67,9.0,1.97,0.37,90.0,45.0,-250.83,19024.83,False,1
628,José Sá,GK,5,1,0.0,0.0,1.33,2.33,1.9,0.77,90.0,45.0,-4915.0,205085.67,True,11
628,José Sá,GK,17,2,0.0,0.0,1.25,1.75,1.54,1.21,90.0,45.0,-6086.5,201709.25,True,5
628,José Sá,GK,18,1,0.0,0.0,1.8,4.2,1.49,1.11,90.0,44.4,-5410.2,186161.2,False,12
628,José Sá,GK,19,4,0.0,0.0,1.83,4.67,1.5,1.0,90.0,44.0,-4822.67,175524.33,False,14
628,José Sá,GK,20,6,0.0,0.0,2.67,9.67,1.23,0.77,90.0,43.5,-5052.67,162621.17,True,19
628,José Sá,GK,21,1,0.17,0.0,2.17,11.17,1.05,0.78,90.0,43.0,-3550.5,148537.67,False,9
628,José Sá,GK,22,7,0.17,0.17,2.17,11.67,0.88,0.62,90.0,42.5,-1859.67,134915.5,True,15
628,José Sá,GK,23,1,0.33,0.17,2.33,16.33,0.96,0.04,90.0,42.0,-524.5,123856.83,False,13
628,José Sá,GK,24,1,0.33,0.17,2.0,14.83,0.89,0.11,90.0,42.0,287.5,124512.0,True,4
628,José Sá,GK,25,2,0.33,0.17,2.0,15.33,0.86,0.14,90.0,42.0,2220.17,127182.17,True,7
628,José Sá,GK,26,12,0.33,0.17,1.67,13.33,1.29,0.04,90.0,42.0,2420.17,129969.17,False,16
628,José Sá,GK,26,1,0.33,0.17,3.33,17.83,1.67,-0.34,90.0,42.0,4456.67,136028.17,True,1
628,José Sá,GK,27,2,0.33,0.0,3.5,18.33,1.83,-0.34,90.0,42.0,6302.67,141551.67,False,8
628,José Sá,GK,28,8,0.17,0.0,3.5,15.5,2.01,-0.34,90.0,42.0,7093.0,146737.17,True,2
628,José Sá,GK,29,3,0.33,0.0,3.83,19.83,2.04,-0.71,90.0,42.0,6688.0,151416.5,True,12
628,José Sá,GK,30,0,0.33,0.0,4.33,21.5,2.12,-0.95,90.0,42.0,5889.33,155280.5,False,5
628,José Sá,GK,32,1,0.33,0.17,4.0,20.5,1.97,-0.97,90.0,42.0,6281.17,159573.5,False,19
628,José Sá,GK,34,2,0.17,0.17,2.83,12.5,1.94,-0.27,90.0,42.0,3981.17,159443.0,True,18
628,José Sá,GK,37,3,0.17,0.17,2.67,12.83,1.78,-0.28,90.0,42.0,812.83,157889.83,True,10
628,José Sá,GK,38,6,0.17,0.17,3.0,13.33,1.71,-0.21,90.0,42.0,-469.5,154767.5,False,3
665,Perri,GK,9,1,0.67,0.0,1.0,12.0,1.3,0.37,90.0,45.0,182.67,40372.0,True,19
665,Perri,GK,10,2,0.5,0.25,1.25,11.0,1.14,0.36,90.0,45.0,42.0,37602.5,False,6
665,Perri,GK,11,2,0.4,0.2,1.8,10.6,1.52,0.28,90.0,45.0,403.6,36379.2,False,16
665,Perri,GK,12,1,0.33,0.17,2.0,10.0,1.69,0.31,90.0,45.0,96.0,35361.0,True,2
665,Perri,GK,13,3,0.17,0.17,2.17,6.17,1.86,0.47,90.0,45.0,-8.5,34811.5,False,13
665,Perri,GK,14,2,0.17,0.17,3.17,10.5,1.9,0.1,90.0,45.0,-372.33,32575.17,True,7
665,Perri,GK,15,2,0.0,0.17,3.0,7.33,1.98,0.18,90.0,45.0,-223.5,30073.33,True,12
665,Perri,GK,16,2,0.0,0.0,3.33,7.5,2.19,0.31,90.0,45.0,-144.83,30167.0,False,5
665,Perri,GK,17,1,0.0,0.0,2.83,7.33,1.8,0.36,90.0,45.0,-399.67,29996.5,True,8
665,Perri,GK,18,2,0.0,0.17,2.67,6.67,1.64,0.19,90.0,45.0,-112.0,30153.67,False,17
665,Perri,GK,19,10,0.0,0.17,2.67,8.33,1.49,0.17,90.0,45.0,-23.5,30412.83,False,12
665,Perri,GK,20,2,0.17,0.17,2.33,11.33,1.3,-0.14,90.0,45.0,-150.33,30472.17,True,14
665,Perri,GK,21,1,0.17,0.17,2.33,11.67,1.41,-0.24,90.0,45.0,201.33,30949.67,False,15
670,Roefs,GK,4,10,0.33,0.0,2.33,18.0,0.92,0.08,90.0,45.0,19234.0,90843.33,False,8
670,Roefs,GK,5,2,0.5,0.25,3.25,23.25,1.13,-0.38,90.0,45.0,21974.25,110791.25,True,2
670,Roefs,GK,6,10,0.4,0.2,2.8,19.2,1.05,-0.25,90.0,45.0,31820.0,139999.0,False,16
670,Roefs,GK,7,2,0.5,0.17,3.33,22.5,1.15,-0.49,90.0,45.0,36558.33,170157.67,False,14
670,Roefs,GK,8,7,0.33,0.17,3.33,19.33,1.37,-0.37,90.0,45.17,67304.33,255049.67,True,20
670,Roefs,GK,9,4,0.5,0.17,3.83,24.0,1.34,-0.67,90.0,45.33,75229.67,341700.67,False,7
670,Roefs,GK,10,2,0.5,0.17,4.33,23.83,1.29,-0.62,90.0,45.5,85711.67,438213.5,True,9
670,Roefs,GK,11,2,0.33,0.0,3.5,18.83,1.14,-0.3,90.0,45.83,102380.33,554549.83,True,1
670,Roefs,GK,12,3,0.33,0.0,4.17,21.0,1.34,-0.34,90.0,46.17,94013.33,657469.17,False,10
670,Roefs,GK,13,1,0.17,0.0,3.83,17.67,1.42,-0.25,90.0,46.5,97825.67,767427.33,True,4
670,Roefs,GK,14,3,0.17,0.17,3.83,17.5,1.39,-0.23,90.0,46.67,71036.83,844862.5,False,12
670,Roefs,GK,15,1,0.0,0.17,4.0,16.17,1.5,-0.16,90.0,46.83,53810.33,903264.5,False,13
670,Roefs,GK,16,9,0.0,0.17,3.33,13.0,1.75,-0.08,90.0,47.0,45120.33,952589.5,True,15
670,Roefs,GK,17,7,0.17,0.17,3.5,16.33,1.65,-0.15,90.0,47.0,23339.0,975862.83,False,6
670,Roefs,GK,18,3,0.33,0.17,3.33,18.67,1.52,-0.35,90.0,47.17,39194.33,1021349.0,True,11
670,Roefs,GK,19,7,0.33,0.17,3.33,18.83,1.52,-0.35,90.0,47.33,40666.33,1071476.17,True,13
670,Roefs,GK,20,3,0.5,0.0,3.33,22.33,1.61,-0.78,90.0,47.5,37535.17,1105447.0,False,18
670,Roefs,GK,21,2,0.5,0.0,3.17,21.33,1.57,-0.73,90.0,47.67,51998.67,1162949.17,False,5
670,Roefs,GK,22,2,0.5,0.0,3.33,22.0,1.7,-0.87,90.0,48.0,75610.33,1245223.67,True,8
670,Roefs,GK,23,1,0.33,0.0,3.17,19.33,1.76,-0.76,90.0,48.33,101674.17,1354701.67,False,19
670,Roefs,GK,24,6,0.17,0.0,2.83,15.17,1.83,-0.33,90.0,48.67,86973.5,1445295.33,True,3
670,Roefs,GK,25,1,0.33,0.0,2.17,15.17,1.48,-0.14,90.0,49.0,66339.67,1509198.0,False,1
670,Roefs,GK,26,2,0.17,0.0,1.83,10.67,1.35,0.48,90.0,49.33,55628.5,1574986.17,True,12
670,Roefs,GK,27,1,0.17,0.0,1.67,10.67,1.57,0.26,90.0,49.67,26150.5,1600386.0,True,10
670,Roefs,GK,28,2,0.17,0.0,1.33,9.67,1.35,0.49,90.0,49.67,303.17,1603431.83,False,4
670,Roefs,GK,32,11,0.17,0.17,1.83,9.0,1.53,0.3,90.0,49.67,-31465.83,1572466.0,True,18
670,Roefs,GK,33,1,0.33,0.17,2.67,15.17,1.42,-0.09,90.0,49.33,-48815.83,1458174.33,False,2
670,Roefs,GK,34,0,0.17,0.17,3.17,11.67,1.88,0.12,90.0,49.0,-42198.17,1344232.33,True,16
670,Roefs,GK,35,3,0.17,0.17,3.17,9.33,1.82,0.52,90.0,48.67,-13381.0,1296094.17,False,20
670,Roefs,GK,36,6,0.17,0.33,3.83,10.17,1.68,0.65,90.0,48.33,-140.5,1233819.83,True,14
670,Roefs,GK,37,3,0.33,0.33,3.83,14.5,1.47,0.36,90.0,48.17,-7751.17,1158614.33,False,9
670,Roefs,GK,38,2,0.33,0.17,3.67,15.17,1.36,0.47,90.0,48.0,-3678.83,1088588.83,True,7
674,Ramsdale,GK,29,3,0.0,0.0,1.5,7.83,1.02,0.31,90.0,48.0,6323.17,107253.67,True,14
674,Ramsdale,GK,30,7,0.0,0.0,2.0,9.17,1.11,0.23,90.0,48.0,6262.17,109239.0,False,7
674,Ramsdale,GK,31,2,0.17,0.17,2.5,13.33,1.21,-0.21,90.0,48.0,5534.33,110398.33,True,17
674,Ramsdale,GK,32,1,0.17,0.17,2.83,13.33,1.35,-0.19,90.0,48.0,1312.83,116386.0,False,8
674,Ramsdale,GK,33,1,0.17,0.33,3.17,13.0,1.73,-0.4,90.0,48.0,2015.83,114287.17,True,4
679,Hermansen,GK,4,1,0.33,0.0,2.33,8.33,1.38,1.28,90.0,45.0,-1649.33,34526.0,True,18
679,Hermansen,GK,25,10,0.25,0.0,2.25,6.75,1.36,1.39,90.0,45.0,-1363.5,35053.0,False,3
679,Hermansen,GK,26,2,0.4,0.0,2.8,12.6,1.36,0.84,90.0,44.4,-1115.2,33199.8,True,14
679,Hermansen,GK,27,10,0.33,0.0,2.67,11.67,1.23,0.77,90.0,44.0,-536.33,32457.5,True,4
679,Hermansen,GK,28,0,0.5,0.0,3.17,16.83,1.22,0.28,90.0,43.5,102.5,32595.0,False,12
679,Hermansen,GK,29,9,0.5,0.0,3.17,17.5,1.07,0.43,90.0,43.0,1025.67,32663.17,False,10
679,Hermansen,GK,30,3,0.5,0.0,3.5,18.83,1.1,0.4,90.0,42.5,1970.5,33496.5,True,13
679,Hermansen,GK,31,2,0.5,0.0,4.0,21.67,1.22,-0.05,90.0,42.0,3681.33,35768.67,False,2
679,Hermansen,GK,32,7,0.33,0.0,3.83,16.83,1.28,0.22,90.0,42.0,4953.83,43588.5,True,20
679,Hermansen,GK,33,6,0.5,0.0,4.17,20.17,1.28,0.05,90.0,42.0,5224.33,49218.67,False,8
679,Hermansen,GK,34,2,0.5,0.0,3.5,18.83,1.29,0.04,90.0,42.0,4654.83,53917.33,True,9
679,Hermansen,GK,35,2,0.5,0.0,3.33,20.67,1.23,-0.56,90.0,42.0,11762.33,93690.5,False,5
679,Hermansen,GK,36,2,0.33,0.0,3.17,15.67,1.46,-0.29,90.0,42.0,11250.83,104984.17,True,1
679,Hermansen,GK,37,5,0.33,0.0,2.5,13.67,1.32,-0.15,90.0,42.0,8744.0,113605.17,False,15
679,Hermansen,GK,38,7,0.33,0.0,2.5,14.67,1.32,0.01,90.0,42.0,8280.33,119359.5,True,11
715,John,GK,19,1,0.33,0.33,1.33,11.67,1.09,-0.09,90.0,40.0,939.67,44216.33,True,9
715,John,GK,20,1,0.25,0.25,1.25,9.25,1.14,0.12,90.0,40.0,3018.5,52948.0,False,2
733,Lammens,GK,10,1,0.33,0.0,3.67,19.0,1.53,-0.53,90.0,50.0,25624.33,59506.33,False,16
733,Lammens,GK,11,1,0.25,0.0,3.0,14.5,1.63,-0.38,90.0,50.0,30570.5,87299.25,False,18
733,Lammens,GK,12,2,0.2,0.0,2.8,12.6,1.49,-0.09,90.0,50.0,24393.6,103662.2,True,9
733,Lammens,GK,13,2,0.17,0.0,2.33,11.33,1.28,0.06,90.0,50.0,22888.17,119251.83,False,8
733,Lammens,GK,14,2,0.0,0.0,2.17,8.33,1.46,0.04,90.0,50.0,22133.67,147732.5,True,19
733,Lammens,GK,15,2,0.0,0.0,1.5,6.33,1.13,0.37,90.0,50.0,20831.0,174936.67,False,20
733,Lammens,GK,16,1,0.0,0.0,1.17,6.17,1.01,0.32,90.0,50.17,16417.17,199019.17,True,4
733,Lammens,GK,17,1,0.0,0.0,1.83,7.0,1.01,0.65,90.0,50.33,5648.67,207212.33,False,2
733,Lammens,GK,18,9,0.0,0.0,1.83,7.0,1.12,0.55,90.0,50.33,3581.5,213879.33,True,15
733,Lammens,GK,19,3,0.17,0.0,2.33,11.33,1.28,0.22,90.0,50.33,-550.33,214424.83,True,20
733,Lammens,GK,20,2,0.17,0.0,2.5,11.17,1.16,0.34,90.0,50.33,10735.0,247960.5,False,11
733,Lammens,GK,21,1,0.17,0.0,2.67,11.67,1.18,0.32,90.0,50.33,5501.67,255141.17,False,3
733,Lammens,GK,22,6,0.17,0.0,2.5,10.17,1.16,0.51,90.0,50.17,1677.33,256660.17,True,13
733,Lammens,GK,23,2,0.33,0.0,1.83,12.83,0.91,0.09,90.0,50.0,-753.33,258070.83,False,1
733,Lammens,GK,24,2,0.33,0.0,2.0,13.67,0.85,0.15,90.0,50.0,230.17,260707.67,True,10
733,Lammens,GK,25,6,0.17,0.0,2.17,10.33,0.98,0.35,90.0,50.0,3842.67,267709.5,True,18
733,Lammens,GK,26,2,0.33,0.0,1.83,12.5,0.87,0.3,90.0,50.0,-5934.67,244312.5,False,19
733,Lammens,GK,27,9,0.33,0.0,1.83,12.0,0.9,0.26,90.0,50.0,-998.83,246462.0,False,9
733,Lammens,GK,28,2,0.5,0.0,2.5,17.5,0.97,-0.13,90.0,50.0,-1033.33,247609.0,True,8
733,Lammens,GK,29,2,0.33,0.0,2.67,15.17,0.96,0.04,90.0,50.0,9568.0,260656.5,False,15
733,Lammens,GK,30,2,0.33,0.0,2.67,14.83,1.17,-0.17,90.0,50.0,11672.5,275062.5,True,2
733,Lammens,GK,31,2,0.33,0.0,2.17,14.17,1.01,-0.18,90.0,50.0,12807.67,290375.17,False,4
733,Lammens,GK,32,2,0.17,0.0,2.5,11.67,1.23,-0.07,90.0,50.0,16797.83,323081.0,True,11
733,Lammens,GK,33,10,0.17,0.0,2.67,12.0,1.44,-0.11,90.0,50.17,15726.5,341032.0,False,7
733,Lammens,GK,34,3,0.17,0.0,2.5,11.67,1.6,-0.27,90.0,50.33,13289.33,354560.5,True,5
733,Lammens,GK,35,2,0.17,0.0,3.0,12.67,1.78,-0.44,90.0,50.5,15675.33,382662.17,True,12
733,Lammens,GK,36,9,0.17,0.0,3.0,12.0,1.51,-0.18,90.0,50.67,14012.67,398572.33,False,17
733,Lammens,GK,37,1,0.33,0.0,3.5,16.33,1.55,-0.39,90.0,50.83,12809.17,413002.5,True,16
733,Lammens,GK,38,6,0.33,0.0,3.33,16.17,1.57,-0.4,90.0,51.0,12934.33,414619.33,False,6
736,Donnarumma,GK,7,6,0.33,0.33,1.67,12.67,0.96,-0.29,90.0,55.33,249349.33,477585.67,False,5
736,Donnarumma,GK,8,6,0.5,0.25,1.5,15.25,0.93,-0.43,90.0,55.5,211034.75,613761.25,True,9
736,Donnarumma,GK,9,2,0.6,0.2,1.4,17.6,0.9,-0.5,90.0,55.8,194178.6,729395.6,False,2
736,Donnarumma,GK,10,2,0.5,0.17,1.5,16.33,0.89,-0.39,90.0,56.0,172515.0,819486.17,True,4
736,Donnarumma,GK,11,6,0.33,0.33,1.83,13.67,0.76,-0.09,90.0,56.33,155616.83,1009109.67,True,12
736,Donnarumma,GK,12,1,0.5,0.17,1.83,16.17,0.72,-0.22,90.0,56.67,116448.17,1152077.67,False,15
736,Donnarumma,GK,13,5,0.5,0.33,2.17,16.17,1.02,-0.35,90.0,56.83,42131.17,1208823.83,True,11
736,Donnarumma,GK,14,0,0.33,0.5,2.17,13.83,1.14,-0.14,90.0,57.0,38270.33,1270081.5,False,10
736,Donnarumma,GK,15,6,0.17,0.5,2.17,8.67,1.15,0.51,90.0,57.0,19123.17,1302022.5,True,17
736,Donnarumma,GK,16,7,0.33,0.5,2.0,10.67,1.14,0.36,90.0,57.0,-1262.17,1312608.5,False,8
736,Donnarumma,GK,17,7,0.5,0.33,2.0,14.5,1.33,0.0,90.0,57.0,-16477.17,1305916.5,True,19
736,Donnarumma,GK,18,2,0.5,0.33,2.33,15.5,1.38,-0.04,90.0,57.0,-2705.5,1316735.33,False,16
736,Donnarumma,GK,19,7,0.5,0.17,2.0,15.5,1.1,0.07,90.0,57.0,-6036.33,1319698.0,False,17
736,Donnarumma,GK,20,2,0.67,0.0,2.5,19.67,0.97,-0.14,90.0,57.0,-21279.5,1302005.33,True,7
736,Donnarumma,GK,21,1,0.67,0.0,2.67,23.17,1.11,-0.78,90.0,57.0,-26394.17,1283782.83,True,6
736,Donnarumma,GK,22,2,0.5,0.17,2.83,21.33,1.18,-0.68,90.0,57.0,-11535.5,1281587.17,False,14
736,Donnarumma,GK,23,8,0.33,0.17,3.0,19.5,1.25,-0.42,90.0,57.0,-4170.83,1287658.83,True,20
736,Donnarumma,GK,24,2,0.33,0.17,2.5,20.0,1.19,-0.36,90.0,57.0,-13847.5,1280957.0,False,18
736,Donnarumma,GK,25,3,0.33,0.17,3.0,20.83,1.27,-0.27,90.0,56.83,-25616.0,1263094.0,False,12
736,Donnarumma,GK,26,7,0.17,0.17,2.83,17.33,1.34,-0.17,90.0,56.67,-30956.83,1238810.5,True,10
736,Donnarumma,GK,27,5,0.33,0.17,3.0,19.17,1.29,-0.29,90.0,56.5,-29550.33,1217246.5,True,15
736,Donnarumma,GK,28,5,0.33,0.0,3.67,21.0,1.2,-0.2,90.0,56.33,-31754.0,1191666.0,False,11
736,Donnarumma,GK,29,1,0.5,0.17,3.17,21.17,1.07,-0.4,90.0,56.17,-18598.17,1179658.67,True,16
736,Donnarumma,GK,30,2,0.33,0.17,3.33,16.83,1.13,-0.13,90.0,56.0,-5930.33,1180197.33,False,19
736,Donnarumma,GK,32,7,0.33,0.17,2.67,15.83,1.04,-0.21,90.0,56.0,5650.67,1191965.33,False,7
736,Donnarumma,GK,33,2,0.5,0.17,2.67,18.5,1.03,-0.36,90.0,56.0,10151.67,1200523.33,True,1
736,Donnarumma,GK,33,6,0.33,0.17,2.33,15.0,1.06,-0.23,90.0,56.0,19789.5,1217979.0,False,3
736,Donnarumma,GK,35,1,0.5,0.17,1.5,15.0,1.06,-0.4,90.0,56.0,24728.5,1231778.33,False,9
736,Donnarumma,GK,36,6,0.33,0.17,1.67,11.67,1.28,-0.11,90.0,56.0,21122.33,1233158.17,True,5
736,Donnarumma,GK,36,8,0.5,0.17,1.67,15.0,1.15,-0.32,90.0,56.0,16326.17,1228175.33,True,8
736,Donnarumma,GK,37,1,0.67,0.17,2.0,18.83,1.18,-0.51,90.0,56.0,18085.5,1222368.5,False,4
