team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Angers,['Lille-H'],['Auxerre-A'],['Rennes-H'],['Le Havre-A'],['Troyes-H'],['Brest-A'],['Marseille-H'],['Lorient-H'],['Lyon-A'],['Nice-H'],['Paris FC-A'],['Lens-H'],['Monaco-A'],['Strasbourg-H'],['Toulouse-A'],['Paris SG-H'],['Le Mans-A'],['Le Havre-H'],['Lens-A'],['Marseille-A'],['Paris FC-H'],['Lorient-A'],['Auxerre-H'],['Strasbourg-A'],['Le Mans-H'],['Monaco-H'],['Troyes-A'],['Lyon-H'],['Nice-A'],['Paris SG-A'],['Toulouse-H'],['Lille-A'],['Brest-H'],['Rennes-A']
Auxerre,['Lens-A'],['Angers-H'],['Lyon-A'],['Nice-H'],['Brest-H'],['Rennes-A'],['Le Havre-A'],['Le Mans-H'],['Strasbourg-A'],['Paris FC-H'],['Monaco-A'],['Marseille-H'],['Lille-A'],['Toulouse-H'],['Lorient-A'],['Troyes-H'],['Paris SG-A'],['Paris FC-A'],['Monaco-H'],['Strasbourg-H'],['Nice-A'],['Lille-H'],['Angers-A'],['Paris SG-H'],['Troyes-A'],['Lens-H'],['Le Mans-A'],['Lorient-H'],['Marseille-A'],['Lyon-H'],['Brest-A'],['Rennes-H'],['Toulouse-A'],['Le Havre-H']
Brest,['Le Mans-A'],['Toulouse-H'],['Le Havre-A'],['Paris SG-H'],['Auxerre-A'],['Angers-H'],['Lille-A'],['Nice-H'],['Lorient-A'],['Lyon-H'],['Strasbourg-A'],['Paris FC-H'],['Rennes-A'],['Troyes-H'],['Marseille-H'],['Monaco-A'],['Lens-A'],['Strasbourg-H'],['Nice-A'],['Rennes-H'],['Paris SG-A'],['Monaco-H'],['Paris FC-A'],['Lille-H'],['Toulouse-A'],['Lorient-H'],['Marseille-A'],['Le Mans-H'],['Lyon-A'],['Troyes-A'],['Auxerre-H'],['Le Havre-H'],['Angers-A'],['Lens-H']
Le Havre,['Monaco-H'],['Lyon-A'],['Brest-H'],['Angers-H'],['Toulouse-A'],['Lille-A'],['Auxerre-H'],['Marseille-A'],['Paris SG-H'],['Lorient-H'],['Troyes-A'],['Strasbourg-H'],['Lens-A'],['Le Mans-H'],['Paris FC-A'],['Nice-A'],['Rennes-H'],['Angers-A'],['Toulouse-H'],['Lorient-A'],['Lyon-H'],['Strasbourg-A'],['Nice-H'],['Lens-H'],['Monaco-A'],['Troyes-H'],['Paris SG-A'],['Marseille-H'],['Le Mans-A'],['Paris FC-H'],['Rennes-A'],['Brest-A'],['Lille-H'],['Auxerre-A']
Le Mans,['Brest-H'],['Rennes-A'],['Nice-A'],['Lens-H'],['Lorient-H'],['Paris SG-A'],['Toulouse-H'],['Auxerre-A'],['Troyes-A'],['Monaco-H'],['Marseille-A'],['Lille-H'],['Paris FC-A'],['Le Havre-A'],['Lyon-H'],['Strasbourg-A'],['Angers-H'],['Nice-H'],['Lorient-A'],['Paris SG-H'],['Monaco-A'],['Paris FC-H'],['Toulouse-A'],['Rennes-H'],['Angers-A'],['Marseille-H'],['Auxerre-H'],['Brest-A'],['Le Havre-H'],['Lens-A'],['Troyes-H'],['Lyon-A'],['Strasbourg-H'],['Lille-A']
Lens,['Auxerre-H'],['Strasbourg-A'],['Lorient-H'],['Le Mans-A'],['Monaco-A'],['Lyon-H'],['Troyes-A'],['Paris FC-H'],['Lille-A'],['Marseille-H'],['Toulouse-H'],['Angers-A'],['Le Havre-H'],['Nice-A'],['Paris SG-H'],['Rennes-A'],['Brest-H'],['Toulouse-A'],['Angers-H'],['Lyon-A'],['Troyes-H'],['Paris SG-A'],['Strasbourg-H'],['Le Havre-A'],['Lille-H'],['Auxerre-A'],['Lorient-A'],['Nice-H'],['Paris FC-A'],['Le Mans-H'],['Monaco-H'],['Marseille-A'],['Rennes-H'],['Brest-A']
Lille,['Angers-A'],['Paris SG-H'],['Toulouse-A'],['Troyes-H'],['Nice-A'],['Le Havre-H'],['Brest-H'],['Monaco-A'],['Lens-H'],['Rennes-A'],['Lyon-H'],['Le Mans-A'],['Auxerre-H'],['Lorient-A'],['Strasbourg-H'],['Marseille-A'],['Paris FC-H'],['Lyon-A'],['Troyes-A'],['Nice-H'],['Lorient-H'],['Auxerre-A'],['Marseille-H'],['Brest-A'],['Lens-A'],['Rennes-H'],['Toulouse-H'],['Paris SG-A'],['Monaco-H'],['Strasbourg-A'],['Paris FC-A'],['Angers-H'],['Le Havre-A'],['Le Mans-H']
Lorient,['Nice-A'],['Troyes-H'],['Lens-A'],['Toulouse-H'],['Le Mans-A'],['Paris FC-H'],['Monaco-H'],['Angers-A'],['Brest-H'],['Le Havre-A'],['Rennes-H'],['Paris SG-A'],['Strasbourg-A'],['Lille-H'],['Auxerre-H'],['Lyon-A'],['Marseille-H'],['Rennes-A'],['Le Mans-H'],['Le Havre-H'],['Lille-A'],['Angers-H'],['Troyes-A'],['Paris FC-A'],['Nice-H'],['Brest-A'],['Lens-H'],['Auxerre-A'],['Paris SG-H'],['Monaco-A'],['Strasbourg-H'],['Toulouse-A'],['Lyon-H'],['Marseille-A']
Lyon,['Toulouse-A'],['Le Havre-H'],['Auxerre-H'],['Paris FC-A'],['Rennes-H'],['Lens-A'],['Nice-H'],['Paris SG-A'],['Angers-H'],['Brest-A'],['Lille-A'],['Monaco-H'],['Troyes-A'],['Marseille-H'],['Le Mans-A'],['Lorient-H'],['Strasbourg-A'],['Lille-H'],['Rennes-A'],['Lens-H'],['Le Havre-A'],['Toulouse-H'],['Monaco-A'],['Troyes-H'],['Marseille-A'],['Nice-A'],['Strasbourg-H'],['Angers-A'],['Brest-H'],['Auxerre-A'],['Paris SG-H'],['Le Mans-H'],['Lorient-A'],['Paris FC-H']
Marseille,['Strasbourg-H'],['Monaco-A'],['Paris FC-H'],['Rennes-A'],['Paris SG-H'],['Troyes-A'],['Angers-A'],['Le Havre-H'],['Toulouse-H'],['Lens-A'],['Le Mans-H'],['Auxerre-A'],['Nice-H'],['Lyon-A'],['Brest-A'],['Lille-H'],['Lorient-A'],['Troyes-H'],['Paris SG-A'],['Angers-H'],['Strasbourg-A'],['Rennes-H'],['Lille-A'],['Monaco-H'],['Lyon-H'],['Le Mans-A'],['Brest-H'],['Le Havre-A'],['Auxerre-H'],['Toulouse-A'],['Nice-A'],['Lens-H'],['Paris FC-A'],['Lorient-H']
Monaco,['Le Havre-A'],['Marseille-H'],['Paris SG-A'],['Strasbourg-A'],['Lens-H'],['Toulouse-H'],['Lorient-A'],['Lille-H'],['Paris FC-A'],['Le Mans-A'],['Auxerre-H'],['Lyon-A'],['Angers-H'],['Rennes-A'],['Nice-H'],['Brest-H'],['Troyes-A'],['Paris SG-H'],['Auxerre-A'],['Toulouse-A'],['Le Mans-H'],['Brest-A'],['Lyon-H'],['Marseille-A'],['Le Havre-H'],['Angers-A'],['Rennes-H'],['Strasbourg-H'],['Lille-A'],['Lorient-H'],['Lens-A'],['Paris FC-H'],['Nice-A'],['Troyes-H']
Nice,['Lorient-H'],['Paris FC-A'],['Le Mans-H'],['Auxerre-A'],['Lille-H'],['Strasbourg-H'],['Lyon-A'],['Brest-A'],['Rennes-H'],['Angers-A'],['Paris SG-H'],['Troyes-H'],['Marseille-A'],['Lens-H'],['Monaco-A'],['Le Havre-H'],['Toulouse-A'],['Le Mans-A'],['Brest-H'],['Lille-A'],['Auxerre-H'],['Troyes-A'],['Le Havre-A'],['Toulouse-H'],['Lorient-A'],['Lyon-H'],['Paris FC-H'],['Lens-A'],['Angers-H'],['Rennes-A'],['Marseille-H'],['Paris SG-A'],['Monaco-H'],['Strasbourg-A']
Paris FC,['Troyes-A'],['Nice-H'],['Marseille-A'],['Lyon-H'],['Strasbourg-H'],['Lorient-A'],['Rennes-H'],['Lens-A'],['Monaco-H'],['Auxerre-A'],['Angers-H'],['Brest-A'],['Le Mans-H'],['Paris SG-A'],['Le Havre-H'],['Toulouse-H'],['Lille-A'],['Auxerre-H'],['Strasbourg-A'],['Troyes-H'],['Angers-A'],['Le Mans-A'],['Brest-H'],['Lorient-H'],['Rennes-A'],['Paris SG-H'],['Nice-A'],['Toulouse-A'],['Lens-H'],['Le Havre-A'],['Lille-H'],['Monaco-A'],['Marseille-H'],['Lyon-A']
