team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Alaves,['Getafe-H'],['Vallecano-A'],['Villarreal-H'],['Osasuna-H'],['Real Racing Club-A'],['Valencia-H'],['Ath Bilbao-A'],['Ath Madrid-H'],['Celta-A'],['Málaga CF-H'],['Barcelona-A'],['Sevilla-A'],['Deportivo de A Coruña-H'],['Real Madrid-A'],['Espanol-H'],['Levante-A'],['Elche-H'],['Betis-A'],['Sociedad-H'],['Villarreal-A'],['Barcelona-H'],['Málaga CF-A'],['Celta-H'],['Valencia-A'],['Real Racing Club-H'],['Getafe-A'],['Ath Bilbao-H'],['Sevilla-H'],['Sociedad-A'],['Elche-A'],['Betis-H'],['Vallecano-H'],['Osasuna-A'],['Ath Madrid-A'],['Levante-H'],['Deportivo de A Coruña-A'],['Real Madrid-H'],['Espanol-A']
Ath Bilbao,['Barcelona-A'],['Sevilla-H'],['Celta-A'],['Ath Madrid-H'],['Elche-H'],['Levante-A'],['Alaves-H'],['Vallecano-A'],['Valencia-A'],['Getafe-H'],['Sociedad-H'],['Osasuna-A'],['Espanol-H'],['Málaga CF-A'],['Real Madrid-H'],['Deportivo de A Coruña-A'],['Betis-H'],['Real Racing Club-A'],['Villarreal-H'],['Getafe-A'],['Levante-H'],['Sevilla-A'],['Osasuna-H'],['Real Madrid-A'],['Celta-H'],['Barcelona-H'],['Alaves-A'],['Valencia-H'],['Espanol-A'],['Real Racing Club-H'],['Villarreal-A'],['Betis-A'],['Deportivo de A Coruña-H'],['Sociedad-A'],['Málaga CF-H'],['Elche-A'],['Ath Madrid-A'],['Vallecano-H']
Ath Madrid,['Málaga CF-H'],['Villarreal-H'],['Sevilla-A'],['Ath Bilbao-A'],['Sociedad-A'],['Osasuna-H'],['Real Madrid-H'],['Alaves-A'],['Espanol-A'],['Deportivo de A Coruña-H'],['Levante-A'],['Barcelona-H'],['Getafe-A'],['Elche-A'],['Betis-H'],['Valencia-H'],['Celta-A'],['Vallecano-A'],['Real Racing Club-H'],['Sociedad-H'],['Deportivo de A Coruña-A'],['Espanol-H'],['Barcelona-A'],['Osasuna-A'],['Elche-H'],['Málaga CF-A'],['Celta-H'],['Real Racing Club-A'],['Getafe-H'],['Real Madrid-A'],['Levante-H'],['Sevilla-H'],['Villarreal-A'],['Alaves-H'],['Valencia-A'],['Vallecano-H'],['Ath Bilbao-H'],['Betis-A']
Barcelona,['Ath Bilbao-H'],['Elche-A'],['Vallecano-H'],['Valencia-A'],['Levante-A'],['Real Racing Club-H'],['Sevilla-A'],['Getafe-H'],['Betis-A'],['Real Madrid-H'],['Alaves-H'],['Ath Madrid-A'],['Villarreal-H'],['Deportivo de A Coruña-A'],['Celta-H'],['Málaga CF-A'],['Sociedad-H'],['Espanol-A'],['Osasuna-A'],['Elche-H'],['Alaves-A'],['Valencia-H'],['Ath Madrid-H'],['Villarreal-A'],['Levante-H'],['Ath Bilbao-A'],['Betis-H'],['Deportivo de A Coruña-H'],['Vallecano-A'],['Sevilla-H'],['Real Racing Club-A'],['Espanol-H'],['Celta-A'],['Osasuna-H'],['Real Madrid-A'],['Sociedad-A'],['Málaga CF-H'],['Getafe-A']
Betis,['Valencia-A'],['Sociedad-H'],['Levante-A'],['Real Madrid-H'],['Villarreal-A'],['Getafe-H'],['Deportivo de A Coruña-A'],['Osasuna-H'],['Barcelona-H'],['Celta-A'],['Málaga CF-H'],['Elche-A'],['Sevilla-A'],['Vallecano-H'],['Ath Madrid-A'],['Real Racing Club-H'],['Ath Bilbao-A'],['Alaves-H'],['Espanol-A'],['Deportivo de A Coruña-H'],['Real Madrid-A'],['Elche-H'],['Sevilla-H'],['Sociedad-A'],['Málaga CF-A'],['Villarreal-H'],['Barcelona-A'],['Levante-H'],['Real Racing Club-A'],['Celta-H'],['Alaves-A'],['Ath Bilbao-H'],['Getafe-A'],['Valencia-H'],['Espanol-H'],['Osasuna-A'],['Vallecano-A'],['Ath Madrid-H']
Celta,['Osasuna-H'],['Valencia-A'],['Ath Bilbao-H'],['Getafe-A'],['Málaga CF-H'],['Sociedad-A'],['Real Racing Club-H'],['Elche-A'],['Alaves-H'],['Betis-H'],['Vallecano-A'],['Levante-H'],['Real Madrid-A'],['Villarreal-H'],['Barcelona-A'],['Espanol-A'],['Ath Madrid-H'],['Deportivo de A Coruña-H'],['Sevilla-A'],['Valencia-H'],['Real Racing Club-A'],['Getafe-H'],['Alaves-A'],['Vallecano-H'],['Ath Bilbao-A'],['Espanol-H'],['Ath Madrid-A'],['Osasuna-A'],['Real Madrid-H'],['Betis-A'],['Elche-H'],['Deportivo de A Coruña-A'],['Barcelona-H'],['Sevilla-H'],['Villarreal-A'],['Málaga CF-A'],['Sociedad-H'],['Levante-A']
Deportivo de A Coruña,['Elche-H'],['Málaga CF-A'],['Valencia-H'],['Villarreal-A'],['Getafe-A'],['Sevilla-H'],['Betis-H'],['Sociedad-A'],['Levante-H'],['Ath Madrid-A'],['Osasuna-H'],['Espanol-A'],['Alaves-A'],['Barcelona-H'],['Real Racing Club-A'],['Ath Bilbao-H'],['Real Madrid-H'],['Celta-A'],['Vallecano-H'],['Betis-A'],['Ath Madrid-H'],['Osasuna-A'],['Málaga CF-H'],['Elche-A'],['Sociedad-H'],['Levante-A'],['Getafe-H'],['Barcelona-A'],['Valencia-A'],['Villarreal-H'],['Sevilla-A'],['Celta-H'],['Ath Bilbao-A'],['Real Racing Club-H'],['Vallecano-A'],['Alaves-H'],['Espanol-H'],['Real Madrid-A']
Elche,['Deportivo de A Coruña-A'],['Barcelona-H'],['Real Racing Club-A'],['Sociedad-H'],['Ath Bilbao-A'],['Real Madrid-H'],['Espanol-A'],['Celta-H'],['Villarreal-A'],['Vallecano-A'],['Valencia-H'],['Betis-H'],['Levante-A'],['Ath Madrid-H'],['Osasuna-A'],['Sevilla-H'],['Alaves-A'],['Málaga CF-A'],['Getafe-H'],['Barcelona-A'],['Vallecano-H'],['Betis-A'],['Levante-H'],['Deportivo de A Coruña-H'],['Ath Madrid-A'],['Sociedad-A'],['Málaga CF-H'],['Villarreal-H'],['Sevilla-A'],['Alaves-H'],['Celta-A'],['Osasuna-H'],['Real Madrid-A'],['Espanol-H'],['Getafe-A'],['Ath Bilbao-H'],['Valencia-A'],['Real Racing Club-H']
Espanol,['Levante-H'],['Real Madrid-H'],['Sociedad-A'],['Sevilla-H'],['Osasuna-A'],['Vallecano-A'],['Elche-H'],['Málaga CF-A'],['Ath Madrid-H'],['Real Racing Club-A'],['Villarreal-A'],['Deportivo de A Coruña-H'],['Ath Bilbao-A'],['Getafe-H'],['Alaves-A'],['Celta-H'],['Valencia-A'],['Barcelona-H'],['Betis-H'],['Levante-A'],['Villarreal-H'],['Ath Madrid-A'],['Vallecano-H'],['Sevilla-A'],['Osasuna-H'],['Celta-A'],['Real Racing Club-H'],['Real Madrid-A'],['Ath Bilbao-H'],['Getafe-A'],['Málaga CF-H'],['Barcelona-A'],['Sociedad-H'],['Elche-A'],['Betis-A'],['Valencia-H'],['Deportivo de A Coruña-A'],['Alaves-H']
Getafe,['Alaves-A'],['Real Racing Club-H'],['Osasuna-A'],['Celta-H'],['Deportivo de A Coruña-H'],['Betis-A'],['Málaga CF-H'],['Barcelona-A'],['Vallecano-H'],['Ath Bilbao-A'],['Sevilla-H'],['Villarreal-A'],['Ath Madrid-H'],['Espanol-A'],['Valencia-H'],['Sociedad-A'],['Levante-H'],['Real Madrid-A'],['Elche-A'],['Ath Bilbao-H'],['Osasuna-H'],['Celta-A'],['Villarreal-H'],['Real Racing Club-A'],['Vallecano-A'],['Alaves-H'],['Deportivo de A Coruña-A'],['Sociedad-H'],['Ath Madrid-A'],['Espanol-H'],['Valencia-A'],['Real Madrid-H'],['Betis-H'],['Málaga CF-A'],['Elche-H'],['Levante-A'],['Sevilla-A'],['Barcelona-H']
