team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Levante,['Espanol-A'],['Osasuna-A'],['Betis-H'],['Málaga CF-A'],['Barcelona-H'],['Ath Bilbao-H'],['Villarreal-A'],['Sevilla-H'],['Deportivo de A Coruña-A'],['Sociedad-A'],['Ath Madrid-H'],['Celta-A'],['Elche-H'],['Real Racing Club-H'],['Vallecano-A'],['Alaves-H'],['Getafe-A'],['Valencia-H'],['Real Madrid-A'],['Espanol-H'],['Ath Bilbao-A'],['Sociedad-H'],['Elche-A'],['Málaga CF-H'],['Barcelona-A'],['Deportivo de A Coruña-H'],['Valencia-A'],['Betis-A'],['Osasuna-H'],['Vallecano-H'],['Ath Madrid-A'],['Villarreal-H'],['Sevilla-A'],['Real Madrid-H'],['Alaves-A'],['Getafe-H'],['Real Racing Club-A'],['Celta-H']
Málaga CF,['Ath Madrid-A'],['Deportivo de A Coruña-H'],['Real Madrid-A'],['Levante-H'],['Celta-A'],['Villarreal-H'],['Getafe-A'],['Espanol-H'],['Sociedad-H'],['Alaves-A'],['Betis-A'],['Real Racing Club-H'],['Osasuna-A'],['Ath Bilbao-H'],['Sevilla-A'],['Barcelona-H'],['Vallecano-A'],['Elche-H'],['Valencia-A'],['Real Madrid-H'],['Sociedad-A'],['Alaves-H'],['Deportivo de A Coruña-A'],['Levante-A'],['Betis-H'],['Ath Madrid-H'],['Elche-A'],['Vallecano-H'],['Villarreal-A'],['Osasuna-H'],['Espanol-A'],['Valencia-H'],['Real Racing Club-A'],['Getafe-H'],['Ath Bilbao-A'],['Celta-H'],['Barcelona-A'],['Sevilla-H']
Osasuna,['Celta-A'],['Levante-H'],['Getafe-H'],['Alaves-A'],['Espanol-H'],['Ath Madrid-A'],['Vallecano-H'],['Betis-A'],['Real Racing Club-H'],['Sevilla-A'],['Deportivo de A Coruña-A'],['Ath Bilbao-H'],['Málaga CF-H'],['Valencia-A'],['Elche-H'],['Real Madrid-A'],['Villarreal-H'],['Sociedad-A'],['Barcelona-H'],['Real Racing Club-A'],['Getafe-A'],['Deportivo de A Coruña-H'],['Ath Bilbao-A'],['Ath Madrid-H'],['Espanol-A'],['Sevilla-H'],['Vallecano-A'],['Celta-H'],['Levante-A'],['Málaga CF-A'],['Real Madrid-H'],['Elche-A'],['Alaves-H'],['Barcelona-A'],['Sociedad-H'],['Betis-H'],['Villarreal-A'],['Valencia-H']
Real Madrid,['Sociedad-H'],['Espanol-A'],['Málaga CF-H'],['Betis-A'],['Vallecano-H'],['Elche-A'],['Ath Madrid-A'],['Villarreal-H'],['Sevilla-H'],['Barcelona-A'],['Real Racing Club-A'],['Valencia-A'],['Celta-H'],['Alaves-H'],['Ath Bilbao-A'],['Osasuna-H'],['Deportivo de A Coruña-A'],['Getafe-H'],['Levante-H'],['Málaga CF-A'],['Betis-H'],['Vallecano-A'],['Sociedad-A'],['Ath Bilbao-H'],['Sevilla-A'],['Valencia-H'],['Villarreal-A'],['Espanol-H'],['Celta-A'],['Ath Madrid-H'],['Osasuna-A'],['Getafe-A'],['Elche-H'],['Levante-A'],['Barcelona-H'],['Real Racing Club-H'],['Alaves-A'],['Deportivo de A Coruña-H']
Real Racing Club,['Villarreal-H'],['Getafe-A'],['Elche-H'],['Vallecano-A'],['Alaves-H'],['Barcelona-A'],['Celta-A'],['Valencia-H'],['Osasuna-A'],['Espanol-H'],['Real Madrid-H'],['Málaga CF-A'],['Sociedad-H'],['Levante-A'],['Deportivo de A Coruña-H'],['Betis-A'],['Sevilla-A'],['Ath Bilbao-H'],['Ath Madrid-A'],['Osasuna-H'],['Celta-H'],['Villarreal-A'],['Valencia-A'],['Getafe-H'],['Alaves-A'],['Vallecano-H'],['Espanol-A'],['Ath Madrid-H'],['Betis-H'],['Ath Bilbao-A'],['Barcelona-H'],['Sociedad-A'],['Málaga CF-H'],['Deportivo de A Coruña-A'],['Sevilla-H'],['Real Madrid-A'],['Levante-H'],['Elche-A']
Sevilla,['Vallecano-H'],['Ath Bilbao-A'],['Ath Madrid-H'],['Espanol-A'],['Valencia-H'],['Deportivo de A Coruña-A'],['Barcelona-H'],['Levante-A'],['Real Madrid-A'],['Osasuna-H'],['Getafe-A'],['Alaves-H'],['Betis-H'],['Sociedad-A'],['Málaga CF-H'],['Elche-A'],['Real Racing Club-H'],['Villarreal-A'],['Celta-H'],['Vallecano-A'],['Valencia-A'],['Ath Bilbao-H'],['Betis-A'],['Espanol-H'],['Real Madrid-H'],['Osasuna-A'],['Sociedad-H'],['Alaves-A'],['Elche-H'],['Barcelona-A'],['Deportivo de A Coruña-H'],['Ath Madrid-A'],['Levante-H'],['Celta-A'],['Real Racing Club-A'],['Villarreal-H'],['Getafe-H'],['Málaga CF-A']
Sociedad,['Real Madrid-A'],['Betis-A'],['Espanol-H'],['Elche-A'],['Ath Madrid-H'],['Celta-H'],['Valencia-A'],['Deportivo de A Coruña-H'],['Málaga CF-A'],['Levante-H'],['Ath Bilbao-A'],['Vallecano-H'],['Real Racing Club-A'],['Sevilla-H'],['Villarreal-A'],['Getafe-H'],['Barcelona-A'],['Osasuna-H'],['Alaves-A'],['Ath Madrid-A'],['Málaga CF-H'],['Levante-A'],['Real Madrid-H'],['Betis-H'],['Deportivo de A Coruña-A'],['Elche-H'],['Sevilla-A'],['Getafe-A'],['Alaves-H'],['Valencia-H'],['Vallecano-A'],['Real Racing Club-H'],['Espanol-A'],['Ath Bilbao-H'],['Osasuna-A'],['Barcelona-H'],['Celta-A'],['Villarreal-H']
Valencia,['Betis-H'],['Celta-H'],['Deportivo de A Coruña-A'],['Barcelona-H'],['Sevilla-A'],['Alaves-A'],['Sociedad-H'],['Real Racing Club-A'],['Ath Bilbao-H'],['Villarreal-H'],['Elche-A'],['Real Madrid-H'],['Vallecano-A'],['Osasuna-H'],['Getafe-A'],['Ath Madrid-A'],['Espanol-H'],['Levante-A'],['Málaga CF-H'],['Celta-A'],['Sevilla-H'],['Barcelona-A'],['Real Racing Club-H'],['Alaves-H'],['Villarreal-A'],['Real Madrid-A'],['Levante-H'],['Ath Bilbao-A'],['Deportivo de A Coruña-H'],['Sociedad-A'],['Getafe-H'],['Málaga CF-A'],['Vallecano-H'],['Betis-A'],['Ath Madrid-H'],['Espanol-A'],['Elche-H'],['Osasuna-A']
Vallecano,['Sevilla-A'],['Alaves-H'],['Barcelona-A'],['Real Racing Club-H'],['Real Madrid-A'],['Espanol-H'],['Osasuna-A'],['Ath Bilbao-H'],['Getafe-A'],['Elche-H'],['Celta-H'],['Sociedad-A'],['Valencia-H'],['Betis-A'],['Levante-H'],['Villarreal-A'],['Málaga CF-H'],['Ath Madrid-H'],['Deportivo de A Coruña-A'],['Sevilla-H'],['Elche-A'],['Real Madrid-H'],['Espanol-A'],['Celta-A'],['Getafe-H'],['Real Racing Club-A'],['Osasuna-H'],['Málaga CF-A'],['Barcelona-H'],['Levante-A'],['Sociedad-H'],['Alaves-A'],['Valencia-A'],['Villarreal-H'],['Deportivo de A Coruña-H'],['Ath Madrid-A'],['Betis-H'],['Ath Bilbao-A']
Villarreal,['Real Racing Club-A'],['Ath Madrid-A'],['Alaves-A'],['Deportivo de A Coruña-H'],['Betis-H'],['Málaga CF-A'],['Levante-H'],['Real Madrid-A'],['Elche-H'],['Valencia-A'],['Espanol-H'],['Getafe-H'],['Barcelona-A'],['Celta-A'],['Sociedad-H'],['Vallecano-H'],['Osasuna-A'],['Sevilla-H'],['Ath Bilbao-A'],['Alaves-H'],['Espanol-A'],['Real Racing Club-H'],['Getafe-A'],['Barcelona-H'],['Valencia-H'],['Betis-A'],['Real Madrid-H'],['Elche-A'],['Málaga CF-H'],['Deportivo de A Coruña-A'],['Ath Bilbao-H'],['Levante-A'],['Ath Madrid-H'],['Vallecano-A'],['Celta-H'],['Sevilla-A'],['Osasuna-H'],['Sociedad-A']
