team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Lecce,['Venezia-A'],['Roma-H'],['Cagliari-A'],['Monza-H'],['Milan-A'],['Bologna-H'],['Udinese-A'],['Juventus-H'],['Frosinone-A'],['Genoa-H'],['Torino-A'],['Lazio-A'],['Atalanta-H'],['Napoli-A'],['Sassuolo-H'],['Inter-H'],['Como-A'],['Parma-H'],['Fiorentina-A'],['Udinese-H'],['Torino-H'],['Genoa-A'],['Napoli-H'],['Monza-A'],['Frosinone-H'],['Bologna-A'],['Como-H'],['Parma-A'],['Roma-A'],['Lazio-H'],['Juventus-A'],['Sassuolo-A'],['Milan-H'],['Cagliari-H'],['Inter-A'],['Fiorentina-H'],['Atalanta-A'],['Venezia-H']
Milan,['Torino-A'],['Venezia-H'],['Juventus-A'],['Lazio-A'],['Lecce-H'],['Sassuolo-A'],['Atalanta-H'],['Udinese-A'],['Bologna-H'],['Inter-H'],['Genoa-A'],['Frosinone-H'],['Cagliari-A'],['Parma-H'],['Napoli-A'],['Como-H'],['Monza-A'],['Fiorentina-H'],['Roma-A'],['Torino-H'],['Frosinone-A'],['Juventus-H'],['Bologna-A'],['Inter-A'],['Genoa-H'],['Como-A'],['Cagliari-H'],['Sassuolo-H'],['Atalanta-A'],['Monza-H'],['Fiorentina-A'],['Napoli-H'],['Lecce-A'],['Lazio-H'],['Parma-A'],['Roma-H'],['Venezia-A'],['Udinese-H']
Monza,['Inter-A'],['Udinese-H'],['Parma-A'],['Lecce-A'],['Sassuolo-H'],['Lazio-A'],['Cagliari-H'],['Torino-A'],['Napoli-H'],['Bologna-A'],['Atalanta-H'],['Fiorentina-H'],['Roma-A'],['Como-H'],['Juventus-A'],['Venezia-A'],['Milan-H'],['Genoa-A'],['Frosinone-H'],['Sassuolo-A'],['Lazio-H'],['Roma-H'],['Como-A'],['Lecce-H'],['Atalanta-A'],['Juventus-H'],['Genoa-H'],['Frosinone-A'],['Bologna-H'],['Milan-A'],['Udinese-A'],['Inter-H'],['Cagliari-A'],['Venezia-H'],['Napoli-A'],['Parma-H'],['Fiorentina-A'],['Torino-H']
Napoli,['Genoa-A'],['Como-H'],['Inter-A'],['Bologna-H'],['Fiorentina-A'],['Frosinone-H'],['Venezia-A'],['Roma-H'],['Monza-A'],['Juventus-A'],['Lazio-H'],['Torino-H'],['Sassuolo-A'],['Lecce-H'],['Milan-H'],['Atalanta-A'],['Parma-A'],['Cagliari-H'],['Udinese-A'],['Fiorentina-H'],['Como-A'],['Inter-H'],['Lecce-A'],['Juventus-H'],['Lazio-A'],['Frosinone-A'],['Parma-H'],['Bologna-A'],['Venezia-H'],['Cagliari-A'],['Sassuolo-H'],['Milan-A'],['Udinese-H'],['Roma-A'],['Monza-H'],['Genoa-H'],['Torino-A'],['Atalanta-H']
Parma,['Cagliari-H'],['Juventus-A'],['Monza-H'],['Como-A'],['Genoa-H'],['Inter-A'],['Torino-H'],['Lazio-A'],['Udinese-H'],['Atalanta-A'],['Bologna-H'],['Roma-H'],['Frosinone-A'],['Milan-A'],['Fiorentina-H'],['Sassuolo-A'],['Napoli-H'],['Lecce-A'],['Venezia-H'],['Inter-H'],['Genoa-A'],['Cagliari-A'],['Frosinone-H'],['Roma-A'],['Udinese-A'],['Sassuolo-H'],['Napoli-A'],['Lecce-H'],['Lazio-H'],['Venezia-A'],['Como-H'],['Fiorentina-A'],['Atalanta-H'],['Torino-A'],['Milan-H'],['Monza-A'],['Juventus-H'],['Bologna-A']
Roma,['Fiorentina-H'],['Lecce-A'],['Atalanta-H'],['Torino-A'],['Inter-H'],['Como-A'],['Genoa-H'],['Napoli-A'],['Cagliari-H'],['Udinese-A'],['Sassuolo-H'],['Parma-A'],['Monza-H'],['Bologna-A'],['Lazio-A'],['Juventus-H'],['Frosinone-H'],['Venezia-A'],['Milan-H'],['Atalanta-A'],['Udinese-H'],['Monza-A'],['Torino-H'],['Parma-H'],['Sassuolo-A'],['Venezia-H'],['Juventus-A'],['Genoa-A'],['Lecce-H'],['Bologna-H'],['Inter-A'],['Lazio-H'],['Frosinone-A'],['Napoli-H'],['Fiorentina-A'],['Milan-A'],['Como-H'],['Cagliari-A']
Sassuolo,['Atalanta-A'],['Torino-H'],['Bologna-A'],['Juventus-H'],['Monza-A'],['Milan-H'],['Frosinone-A'],['Como-A'],['Lazio-H'],['Fiorentina-H'],['Roma-A'],['Genoa-H'],['Napoli-H'],['Venezia-A'],['Lecce-A'],['Parma-H'],['Inter-A'],['Udinese-H'],['Cagliari-A'],['Monza-H'],['Fiorentina-A'],['Como-H'],['Juventus-A'],['Torino-A'],['Roma-H'],['Parma-A'],['Bologna-H'],['Milan-A'],['Cagliari-H'],['Atalanta-H'],['Napoli-A'],['Lecce-H'],['Genoa-A'],['Frosinone-H'],['Lazio-A'],['Venezia-H'],['Udinese-A'],['Inter-H']
Torino,['Milan-H'],['Sassuolo-A'],['Fiorentina-A'],['Roma-H'],['Bologna-A'],['Udinese-H'],['Parma-A'],['Monza-H'],['Como-H'],['Frosinone-A'],['Lecce-H'],['Napoli-A'],['Lazio-H'],['Genoa-A'],['Inter-A'],['Cagliari-H'],['Venezia-H'],['Juventus-A'],['Atalanta-H'],['Milan-A'],['Lecce-A'],['Frosinone-H'],['Roma-A'],['Sassuolo-H'],['Como-A'],['Fiorentina-H'],['Atalanta-A'],['Inter-H'],['Udinese-A'],['Juventus-H'],['Lazio-A'],['Genoa-H'],['Venezia-A'],['Parma-H'],['Bologna-H'],['Cagliari-A'],['Napoli-H'],['Monza-A']
Udinese,['Como-H'],['Monza-A'],['Lazio-H'],['Inter-A'],['Cagliari-H'],['Torino-A'],['Lecce-H'],['Milan-H'],['Parma-A'],['Roma-H'],['Venezia-A'],['Bologna-A'],['Fiorentina-H'],['Juventus-A'],['Frosinone-H'],['Genoa-A'],['Atalanta-H'],['Sassuolo-A'],['Napoli-H'],['Lecce-A'],['Roma-A'],['Bologna-H'],['Fiorentina-A'],['Venezia-H'],['Parma-H'],['Cagliari-A'],['Inter-H'],['Como-A'],['Torino-H'],['Frosinone-A'],['Monza-H'],['Atalanta-A'],['Napoli-A'],['Genoa-H'],['Juventus-H'],['Lazio-A'],['Sassuolo-H'],['Milan-A']
Venezia,['Lecce-H'],['Milan-A'],['Frosinone-A'],['Fiorentina-H'],['Lazio-H'],['Atalanta-A'],['Napoli-H'],['Genoa-A'],['Inter-H'],['Como-A'],['Udinese-H'],['Juventus-A'],['Bologna-H'],['Sassuolo-H'],['Cagliari-A'],['Monza-H'],['Torino-A'],['Roma-H'],['Parma-A'],['Frosinone-H'],['Inter-A'],['Lazio-A'],['Genoa-H'],['Udinese-A'],['Cagliari-H'],['Roma-A'],['Fiorentina-A'],['Atalanta-H'],['Napoli-A'],['Parma-H'],['Bologna-A'],['Juventus-H'],['Torino-H'],['Monza-A'],['Como-H'],['Sassuolo-A'],['Milan-H'],['Lecce-A']
