team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Atalanta,['Sassuolo-H'],['Bologna-H'],['Roma-A'],['Cagliari-H'],['Juventus-A'],['Venezia-H'],['Milan-A'],['Frosinone-H'],['Fiorentina-A'],['Parma-H'],['Monza-A'],['Inter-H'],['Lecce-A'],['Lazio-A'],['Genoa-H'],['Napoli-H'],['Udinese-A'],['Como-H'],['Torino-A'],['Roma-H'],['Bologna-A'],['Fiorentina-H'],['Lazio-H'],['Genoa-A'],['Monza-H'],['Inter-A'],['Torino-H'],['Venezia-A'],['Milan-H'],['Sassuolo-A'],['Cagliari-A'],['Udinese-H'],['Parma-A'],['Juventus-H'],['Frosinone-A'],['Como-A'],['Lecce-H'],['Napoli-A']
Bologna,['Lazio-H'],['Atalanta-A'],['Sassuolo-H'],['Napoli-A'],['Torino-H'],['Lecce-A'],['Inter-H'],['Cagliari-A'],['Milan-A'],['Monza-H'],['Parma-A'],['Udinese-H'],['Venezia-A'],['Roma-H'],['Como-A'],['Fiorentina-A'],['Juventus-H'],['Frosinone-A'],['Genoa-H'],['Lazio-A'],['Atalanta-H'],['Udinese-A'],['Milan-H'],['Como-H'],['Juventus-A'],['Lecce-H'],['Sassuolo-A'],['Napoli-H'],['Monza-A'],['Roma-A'],['Venezia-H'],['Cagliari-H'],['Inter-A'],['Fiorentina-H'],['Torino-A'],['Frosinone-H'],['Genoa-A'],['Parma-H']
Cagliari,['Parma-A'],['Inter-H'],['Lecce-H'],['Atalanta-A'],['Udinese-A'],['Juventus-H'],['Monza-A'],['Bologna-H'],['Roma-A'],['Lazio-A'],['Frosinone-H'],['Como-A'],['Milan-H'],['Fiorentina-A'],['Venezia-H'],['Torino-A'],['Genoa-H'],['Napoli-A'],['Sassuolo-H'],['Como-H'],['Juventus-A'],['Parma-H'],['Inter-A'],['Lazio-H'],['Venezia-A'],['Udinese-H'],['Milan-A'],['Fiorentina-H'],['Sassuolo-A'],['Napoli-H'],['Atalanta-H'],['Bologna-A'],['Monza-H'],['Lecce-A'],['Genoa-A'],['Torino-H'],['Frosinone-A'],['Roma-H']
Como,['Udinese-A'],['Napoli-A'],['Genoa-A'],['Parma-H'],['Frosinone-A'],['Roma-H'],['Fiorentina-A'],['Sassuolo-H'],['Torino-A'],['Venezia-H'],['Inter-A'],['Cagliari-H'],['Juventus-H'],['Monza-A'],['Bologna-H'],['Milan-A'],['Lecce-H'],['Atalanta-A'],['Lazio-H'],['Cagliari-A'],['Napoli-H'],['Sassuolo-A'],['Monza-H'],['Bologna-A'],['Torino-H'],['Milan-H'],['Lecce-A'],['Udinese-H'],['Juventus-A'],['Fiorentina-H'],['Parma-A'],['Frosinone-H'],['Lazio-A'],['Inter-H'],['Venezia-A'],['Atalanta-H'],['Roma-A'],['Genoa-H']
Fiorentina,['Roma-A'],['Frosinone-H'],['Torino-H'],['Venezia-A'],['Napoli-H'],['Genoa-A'],['Como-H'],['Inter-A'],['Atalanta-H'],['Sassuolo-A'],['Juventus-H'],['Monza-A'],['Udinese-A'],['Cagliari-H'],['Parma-A'],['Bologna-H'],['Lazio-H'],['Milan-A'],['Lecce-H'],['Napoli-A'],['Sassuolo-H'],['Atalanta-A'],['Udinese-H'],['Frosinone-A'],['Inter-H'],['Torino-A'],['Venezia-H'],['Cagliari-A'],['Genoa-H'],['Como-A'],['Milan-H'],['Parma-H'],['Juventus-A'],['Bologna-A'],['Roma-H'],['Lecce-A'],['Monza-H'],['Lazio-A']
Frosinone,['Juventus-H'],['Fiorentina-A'],['Venezia-H'],['Genoa-A'],['Como-H'],['Napoli-A'],['Sassuolo-H'],['Atalanta-A'],['Lecce-H'],['Torino-H'],['Cagliari-A'],['Milan-A'],['Parma-H'],['Inter-H'],['Udinese-A'],['Lazio-H'],['Roma-A'],['Bologna-H'],['Monza-A'],['Venezia-A'],['Milan-H'],['Torino-A'],['Parma-A'],['Fiorentina-H'],['Lecce-A'],['Napoli-H'],['Lazio-A'],['Monza-H'],['Inter-A'],['Udinese-H'],['Genoa-H'],['Como-A'],['Roma-H'],['Sassuolo-A'],['Atalanta-H'],['Bologna-A'],['Cagliari-H'],['Juventus-A']
Genoa,['Napoli-H'],['Lazio-A'],['Como-H'],['Frosinone-H'],['Parma-A'],['Fiorentina-H'],['Roma-A'],['Venezia-H'],['Juventus-H'],['Lecce-A'],['Milan-H'],['Sassuolo-A'],['Inter-A'],['Torino-H'],['Atalanta-A'],['Udinese-H'],['Cagliari-A'],['Monza-H'],['Bologna-A'],['Juventus-A'],['Parma-H'],['Lecce-H'],['Venezia-A'],['Atalanta-H'],['Milan-A'],['Lazio-H'],['Monza-A'],['Roma-H'],['Fiorentina-A'],['Inter-H'],['Frosinone-A'],['Torino-A'],['Sassuolo-H'],['Udinese-A'],['Cagliari-H'],['Napoli-A'],['Bologna-H'],['Como-A']
Inter,['Monza-H'],['Cagliari-A'],['Napoli-H'],['Udinese-H'],['Roma-A'],['Parma-H'],['Bologna-A'],['Fiorentina-H'],['Venezia-A'],['Milan-A'],['Como-H'],['Atalanta-A'],['Genoa-H'],['Frosinone-A'],['Torino-H'],['Lecce-A'],['Sassuolo-H'],['Lazio-A'],['Juventus-H'],['Parma-A'],['Venezia-H'],['Napoli-A'],['Cagliari-H'],['Milan-H'],['Fiorentina-A'],['Atalanta-H'],['Udinese-A'],['Torino-A'],['Frosinone-H'],['Genoa-A'],['Roma-H'],['Monza-A'],['Bologna-H'],['Como-A'],['Lecce-H'],['Juventus-A'],['Lazio-H'],['Sassuolo-A']
Juventus,['Frosinone-A'],['Parma-H'],['Milan-H'],['Sassuolo-A'],['Atalanta-H'],['Cagliari-A'],['Lazio-H'],['Lecce-A'],['Genoa-A'],['Napoli-H'],['Fiorentina-A'],['Venezia-H'],['Como-A'],['Udinese-H'],['Monza-H'],['Roma-A'],['Bologna-A'],['Torino-H'],['Inter-A'],['Genoa-H'],['Cagliari-H'],['Milan-A'],['Sassuolo-H'],['Napoli-A'],['Bologna-H'],['Monza-A'],['Roma-H'],['Lazio-A'],['Como-H'],['Torino-A'],['Lecce-H'],['Venezia-A'],['Fiorentina-H'],['Atalanta-A'],['Udinese-A'],['Inter-H'],['Parma-A'],['Frosinone-H']
Lazio,['Bologna-A'],['Genoa-H'],['Udinese-A'],['Milan-H'],['Venezia-A'],['Monza-H'],['Juventus-A'],['Parma-H'],['Sassuolo-A'],['Cagliari-H'],['Napoli-A'],['Lecce-H'],['Torino-A'],['Atalanta-H'],['Roma-H'],['Frosinone-A'],['Fiorentina-A'],['Inter-H'],['Como-A'],['Bologna-H'],['Monza-A'],['Venezia-H'],['Atalanta-A'],['Cagliari-A'],['Napoli-H'],['Genoa-A'],['Frosinone-H'],['Juventus-H'],['Parma-A'],['Lecce-A'],['Torino-H'],['Roma-A'],['Como-H'],['Milan-A'],['Sassuolo-H'],['Udinese-H'],['Inter-A'],['Fiorentina-H']
