team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Arsenal,['Coventry City-H'],['Aston Villa-A'],['Chelsea-H'],['Sunderland-A'],['Brighton-A'],['Leeds-H'],"[""Nott'm Forest-A""]",['Everton-H'],['Liverpool-A'],['Hull City-H'],['Newcastle-A'],['Man City-H'],['Brentford-A'],['Tottenham-A'],['Bournemouth-H'],['Man United-H'],['Crystal Palace-A'],['Fulham-A'],['Ipswich Town-H'],['Brentford-H'],['Hull City-A'],['Newcastle-H'],['Man City-A'],['Liverpool-H'],['Ipswich Town-A'],['Fulham-H'],['Man United-A'],['Crystal Palace-H'],['Chelsea-A'],['Sunderland-H'],['Coventry City-A'],['Aston Villa-H'],['Bournemouth-A'],['Tottenham-H'],['Leeds-A'],"[""Nott'm Forest-H""]",['Everton-A'],['Brighton-H']
Aston Villa,['Brighton-A'],['Arsenal-H'],['Hull City-A'],"[""Nott'm Forest-H""]",['Tottenham-A'],['Brentford-H'],['Newcastle-A'],['Man City-H'],['Fulham-H'],['Man United-A'],['Sunderland-H'],['Ipswich Town-A'],['Everton-H'],['Crystal Palace-H'],['Coventry City-A'],['Chelsea-A'],['Leeds-H'],['Liverpool-H'],['Bournemouth-A'],['Everton-A'],['Man United-H'],['Fulham-A'],['Ipswich Town-H'],['Sunderland-A'],['Bournemouth-H'],['Leeds-A'],['Chelsea-H'],['Liverpool-A'],['Hull City-H'],"[""Nott'm Forest-A""]",['Brighton-H'],['Arsenal-A'],['Coventry City-H'],['Crystal Palace-A'],['Brentford-A'],['Newcastle-H'],['Man City-A'],['Tottenham-H']
Bournemouth,['Man City-A'],['Everton-H'],['Newcastle-A'],['Brentford-H'],['Liverpool-H'],['Chelsea-A'],['Sunderland-H'],['Man United-A'],['Leeds-H'],['Ipswich Town-A'],"[""Nott'm Forest-H""]",['Fulham-A'],['Brighton-H'],['Hull City-H'],['Arsenal-A'],['Coventry City-H'],['Tottenham-A'],['Crystal Palace-A'],['Aston Villa-H'],['Brighton-A'],['Ipswich Town-H'],"[""Nott'm Forest-A""]",['Fulham-H'],['Leeds-A'],['Aston Villa-A'],['Crystal Palace-H'],['Coventry City-A'],['Tottenham-H'],['Newcastle-H'],['Brentford-A'],['Man City-H'],['Everton-A'],['Arsenal-H'],['Hull City-A'],['Man United-H'],['Sunderland-A'],['Chelsea-H'],['Liverpool-A']
Brentford,['Tottenham-H'],['Leeds-A'],['Sunderland-H'],['Bournemouth-A'],['Chelsea-H'],['Aston Villa-A'],['Liverpool-H'],['Hull City-A'],"[""Nott'm Forest-H""]",['Brighton-A'],['Everton-H'],['Man United-A'],['Arsenal-H'],['Man City-H'],['Fulham-A'],['Newcastle-H'],['Ipswich Town-A'],['Coventry City-A'],['Crystal Palace-H'],['Arsenal-A'],['Brighton-H'],['Everton-A'],['Man United-H'],"[""Nott'm Forest-A""]",['Crystal Palace-A'],['Coventry City-H'],['Newcastle-A'],['Ipswich Town-H'],['Sunderland-A'],['Bournemouth-H'],['Tottenham-A'],['Leeds-H'],['Fulham-H'],['Man City-A'],['Aston Villa-H'],['Liverpool-A'],['Hull City-H'],['Chelsea-A']
Brighton,['Aston Villa-H'],['Chelsea-A'],['Leeds-H'],['Coventry City-A'],['Arsenal-H'],['Sunderland-A'],['Crystal Palace-H'],['Liverpool-A'],['Man City-A'],['Brentford-H'],['Hull City-A'],['Newcastle-H'],['Bournemouth-A'],"[""Nott'm Forest-A""]",['Everton-H'],['Ipswich Town-H'],['Fulham-A'],['Tottenham-A'],['Man United-H'],['Bournemouth-H'],['Brentford-A'],['Man City-H'],['Newcastle-A'],['Hull City-H'],['Man United-A'],['Tottenham-H'],['Ipswich Town-A'],['Fulham-H'],['Leeds-A'],['Coventry City-H'],['Aston Villa-A'],['Chelsea-H'],['Everton-A'],"[""Nott'm Forest-H""]",['Sunderland-H'],['Crystal Palace-A'],['Liverpool-H'],['Arsenal-A']
Chelsea,['Fulham-A'],['Brighton-H'],['Arsenal-A'],['Hull City-H'],['Brentford-A'],['Bournemouth-H'],['Everton-A'],['Tottenham-H'],['Man United-H'],['Sunderland-A'],['Leeds-H'],"[""Nott'm Forest-A""]",['Crystal Palace-H'],['Liverpool-H'],['Man City-A'],['Aston Villa-H'],['Coventry City-A'],['Ipswich Town-A'],['Newcastle-H'],['Crystal Palace-A'],['Sunderland-H'],['Leeds-A'],"[""Nott'm Forest-H""]",['Man United-A'],['Newcastle-A'],['Ipswich Town-H'],['Aston Villa-A'],['Coventry City-H'],['Arsenal-H'],['Hull City-A'],['Fulham-H'],['Brighton-A'],['Man City-H'],['Liverpool-A'],['Tottenham-A'],['Everton-H'],['Bournemouth-A'],['Brentford-H']
Coventry City,['Arsenal-A'],['Hull City-H'],['Man City-A'],['Brighton-H'],"[""Nott'm Forest-A""]",['Newcastle-H'],['Tottenham-A'],['Fulham-H'],['Sunderland-H'],['Everton-A'],['Crystal Palace-H'],['Leeds-A'],['Ipswich Town-H'],['Man United-A'],['Aston Villa-H'],['Bournemouth-A'],['Chelsea-H'],['Brentford-H'],['Liverpool-A'],['Ipswich Town-A'],['Everton-H'],['Sunderland-A'],['Leeds-H'],['Crystal Palace-A'],['Liverpool-H'],['Brentford-A'],['Bournemouth-H'],['Chelsea-A'],['Man City-H'],['Brighton-A'],['Arsenal-H'],['Hull City-A'],['Aston Villa-A'],['Man United-H'],['Newcastle-A'],['Tottenham-H'],['Fulham-A'],"[""Nott'm Forest-H""]"
Crystal Palace,['Everton-A'],['Man City-H'],['Fulham-A'],['Ipswich Town-H'],['Leeds-A'],"[""Nott'm Forest-H""]",['Brighton-A'],['Newcastle-H'],['Tottenham-A'],['Liverpool-H'],['Coventry City-A'],['Hull City-H'],['Chelsea-A'],['Aston Villa-A'],['Man United-H'],['Sunderland-A'],['Arsenal-H'],['Bournemouth-H'],['Brentford-A'],['Chelsea-H'],['Liverpool-A'],['Tottenham-H'],['Hull City-A'],['Coventry City-H'],['Brentford-H'],['Bournemouth-A'],['Sunderland-H'],['Arsenal-A'],['Fulham-H'],['Ipswich Town-A'],['Everton-H'],['Man City-A'],['Man United-A'],['Aston Villa-H'],"[""Nott'm Forest-A""]",['Brighton-H'],['Newcastle-A'],['Leeds-H']
Everton,['Crystal Palace-H'],['Bournemouth-A'],['Man United-H'],['Tottenham-A'],['Ipswich Town-H'],['Hull City-A'],['Chelsea-H'],['Arsenal-A'],['Newcastle-A'],['Coventry City-H'],['Brentford-A'],['Liverpool-H'],['Aston Villa-A'],['Fulham-H'],['Brighton-A'],"[""Nott'm Forest-A""]",['Sunderland-H'],['Man City-H'],['Leeds-A'],['Aston Villa-H'],['Coventry City-A'],['Brentford-H'],['Liverpool-A'],['Newcastle-H'],['Leeds-H'],['Sunderland-A'],"[""Nott'm Forest-H""]",['Man City-A'],['Man United-A'],['Tottenham-H'],['Crystal Palace-A'],['Bournemouth-H'],['Brighton-H'],['Fulham-A'],['Hull City-H'],['Chelsea-A'],['Arsenal-H'],['Ipswich Town-A']
Fulham,['Chelsea-H'],['Sunderland-A'],['Crystal Palace-H'],['Liverpool-A'],['Man United-H'],['Ipswich Town-A'],['Hull City-H'],['Coventry City-A'],['Aston Villa-A'],['Newcastle-H'],['Man City-A'],['Bournemouth-H'],['Tottenham-A'],['Everton-A'],['Brentford-H'],['Leeds-A'],['Brighton-H'],['Arsenal-H'],"[""Nott'm Forest-A""]",['Tottenham-H'],['Newcastle-A'],['Aston Villa-H'],['Bournemouth-A'],['Man City-H'],"[""Nott'm Forest-H""]",['Arsenal-A'],['Leeds-H'],['Brighton-A'],['Crystal Palace-A'],['Liverpool-H'],['Chelsea-A'],['Sunderland-H'],['Brentford-A'],['Everton-H'],['Ipswich Town-H'],['Hull City-A'],['Coventry City-H'],['Man United-A']
