,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.4747549155607428,0.38347876594903774,1.2380213918385123,0.2157081290037669,-0.276849654535236,1.2263594856567215
roll_expected_goals_p90,1.9336572116951487,0.48536497108950455,3.9839241125181433,6.77865273286483e-05,0.9823593490023952,2.884955074387902
roll_expected_goals_conceded_p90,-0.4007761156059811,0.1256658166112709,-3.189221431996294,0.001426565574852282,-0.6470765902518874,-0.15447564096007485
roll_minutes,0.031846846456809165,0.003937224392573373,8.08865415872171,6.032759804976713e-16,0.024130028448312763,0.03956366446530557
roll_creativity_p90,0.015965789731642213,0.009467888990862115,1.6863093501678688,0.09173623104913925,-0.002590931700070808,0.03452251116335524
roll_defensive_contribution_p90,0.044420825696529664,0.0196947997263006,2.255459629640698,0.02410449352173746,0.005819727550251175,0.08302192384280815
roll_expected_assists_p90,0.6857381626708684,0.8795561501025756,0.7796411435368807,0.4356021312558275,-1.0381602139108854,2.4096365392526224
