,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,1.2336581374229258,1.003763430470831,1.229032758091475,0.21905952422510455,-0.7336820352982774,3.2009983101441293
roll_expected_goals_p90,2.4484757585509804,1.0161405077470163,2.4095838517251256,0.01597072562094312,0.4568769601345848,4.440074556967376
roll_minutes,0.015470998702336893,0.012046217526004021,1.284303447861525,0.19903580091516548,-0.008139153798566182,0.03908115120323997
roll_expected_assists_p90,4.62470991127679,2.000763756083556,2.3114722551399782,0.020806783939029783,0.7032850077799395,8.546134814773641
