Player ID,Name,Pos,Team,Cost,Selected by
1,Raya,GK,Arsenal,6.2,36.5
2,Arrizabalaga,GK,Arsenal,4.0,0.4
3,Hein,GK,Arsenal,4.0,0.2
4,Setford,GK,Arsenal,3.9,0.2
5,Gabriel,DEF,Arsenal,7.3,46.0
6,Saliba,DEF,Arsenal,6.3,17.2
7,Calafiori,DEF,Arsenal,5.6,5.9
8,J.Timber,DEF,Arsenal,6.0,15.3
9,Kiwior,DEF,Arsenal,5.4,0.0
10,Lewis-Skelly,DEF,Arsenal,5.0,1.9
11,White,DEF,Arsenal,5.1,0.5
12,Zinchenko,DEF,Nott'm Forest,4.9,0.2
13,Clarke,DEF,Arsenal,3.7,0.5
14,Kacurri,DEF,Arsenal,3.9,0.1
15,Nichols,DEF,Arsenal,3.7,0.2
16,Saka,MID,Arsenal,10.0,13.0
17,Ødegaard,MID,Arsenal,7.8,1.7
18,Madueke,MID,Arsenal,6.8,0.8
19,Martinelli,MID,Arsenal,6.8,0.9
20,Trossard,MID,Arsenal,6.6,2.0
21,Rice,MID,Arsenal,7.2,24.1
22,Merino,MID,Arsenal,5.3,0.7
23,Fábio Vieira,MID,Arsenal,5.4,0.0
24,Nørgaard,MID,Arsenal,5.1,0.1
25,Nwaneri,MID,Arsenal,5.0,0.1
26,Zubimendi,MID,Arsenal,4.9,2.8
27,Nelson,MID,Brentford,4.8,0.1
28,Kabia,MID,Arsenal,4.5,0.1
29,Sambi,MID,Arsenal,4.5,0.0
30,Havertz,FWD,Arsenal,7.3,0.6
31,G.Jesus,FWD,Arsenal,6.4,0.3
32,Martinez,GK,Aston Villa,5.0,4.5
33,M.Bizot,GK,Aston Villa,4.2,0.4
34,Gauci,GK,Aston Villa,4.0,0.1
35,Marschall,GK,Aston Villa,4.0,0.0
36,Cash,DEF,Aston Villa,4.6,7.6
37,Digne,DEF,Aston Villa,4.5,1.5
38,Konsa,DEF,Aston Villa,4.4,7.1
39,Maatsen,DEF,Aston Villa,4.2,0.5
40,Mings,DEF,Aston Villa,4.3,0.6
41,Pau,DEF,Aston Villa,4.3,0.3
42,A.García,DEF,Aston Villa,3.9,0.2
43,Alex Moreno,DEF,Aston Villa,4.0,1.5
44,Bogarde,DEF,Aston Villa,4.0,0.5
45,Sousa,DEF,Aston Villa,3.8,0.2
46,Yasin,DEF,Aston Villa,4.0,0.1
47,Rogers,MID,Aston Villa,7.3,20.9
48,Tielemans,MID,Aston Villa,5.9,0.7
49,Bailey,MID,Aston Villa,5.5,0.1
50,Buendía,MID,Aston Villa,5.3,0.4
51,Iling Jr,MID,Aston Villa,5.5,0.0
52,J.Ramsey,MID,Newcastle,5.3,0.2
53,Malen,MID,Aston Villa,5.1,0.4
54,McGinn,MID,Aston Villa,5.3,0.7
55,Barkley,MID,Aston Villa,4.8,0.1
56,Barrenechea,MID,Aston Villa,5.0,0.0
57,Dobbin,MID,Aston Villa,5.0,0.0
58,Kamara,MID,Aston Villa,4.9,0.2
59,Onana,MID,Aston Villa,4.8,0.6
60,Broggio,MID,Aston Villa,4.4,0.2
61,Dendoncker,MID,Aston Villa,4.5,0.1
62,Jimoh-Aloba,MID,Aston Villa,4.5,0.1
63,Young,MID,Aston Villa,4.3,0.5
64,Watkins,FWD,Aston Villa,8.7,13.4
65,Redmond,FWD,Aston Villa,4.5,0.3
66,Neto,GK,Bournemouth,4.5,0.1
67,Petrović,GK,Bournemouth,4.6,5.0
68,Dennis,GK,Bournemouth,4.0,0.7
69,McKenna,GK,Bournemouth,3.9,0.2
70,Paulsen,GK,Bournemouth,4.0,0.1
71,Zabarnyi,DEF,Bournemouth,5.0,0.0
72,Senesi,DEF,Bournemouth,5.2,21.3
73,Smith,DEF,Bournemouth,4.4,0.2
74,Truffert,DEF,Bournemouth,4.8,4.9
75,Akinmboni,DEF,Bournemouth,3.8,0.2
76,Bevan,DEF,Bournemouth,3.8,0.2
77,Hill,DEF,Bournemouth,4.2,7.3
78,J.Araujo,DEF,Bournemouth,3.8,0.5
79,Mepham,DEF,Bournemouth,4.0,0.1
80,Soler,DEF,Bournemouth,3.9,0.2
81,Kluivert,MID,Bournemouth,6.9,0.6
82,Semenyo,MID,Man City,8.0,46.9
83,O.Dango,MID,Brentford,5.6,1.6
84,Tavernier,MID,Bournemouth,5.3,4.3
85,Adams,MID,Bournemouth,4.9,0.3
86,Brooks,MID,Bournemouth,5.0,0.2
87,Christie,MID,Bournemouth,4.9,0.1
88,Cook,MID,Bournemouth,4.9,0.0
89,Philip,MID,Bournemouth,4.9,0.0
90,Scott,MID,Bournemouth,4.9,2.1
91,Sinisterra,MID,Bournemouth,5.0,0.0
92,Faivre,MID,Bournemouth,4.5,0.1
93,H.Traorè,MID,Bournemouth,4.5,0.3
94,Sadi,MID,Bournemouth,4.5,0.0
95,Silcott-Duberry,MID,Bournemouth,4.4,0.1
96,Winterburn,MID,Bournemouth,4.5,0.0
97,Evanilson,FWD,Bournemouth,6.6,2.4
98,Enes Ünal,FWD,Bournemouth,5.4,0.0
99,Adu-Adjei,FWD,Bournemouth,4.4,0.1
100,Kroupi.Jr,FWD,Bournemouth,4.7,6.7
101,Kelleher,GK,Brentford,4.8,12.2
102,Balcombe,GK,Brentford,3.9,0.2
103,Cox,GK,Brentford,3.9,0.1
104,Eyestone,GK,Brentford,3.9,0.1
105,Valdimarsson,GK,Brentford,3.8,0.9
106,Collins,DEF,Brentford,4.9,2.5
107,Lewis-Potter,DEF,Brentford,4.8,1.6
108,Ajer,DEF,Brentford,4.4,0.2
109,Henry,DEF,Brentford,4.3,0.1
110,Kayode,DEF,Brentford,4.6,1.1
111,Pinnock,DEF,Brentford,4.2,0.1
112,Roerslev,DEF,Brentford,4.5,0.0
113,Van den Berg,DEF,Brentford,4.4,1.1
114,Arthur,DEF,Brentford,3.8,0.2
115,Fredrick,DEF,Brentford,4.0,0.1
116,Hickey,DEF,Brentford,4.0,0.3
117,Ji-soo,DEF,Brentford,3.9,0.1
118,Meghoma,DEF,Brentford,4.0,0.0
119,Mbeumo,MID,Man Utd,8.3,14.9
120,Schade,MID,Brentford,6.8,1.4
121,Damsgaard,MID,Brentford,5.6,0.8
122,Milambo,MID,Brentford,5.2,0.0
123,Carvalho,MID,Brentford,4.6,0.1
124,Henderson,MID,Brentford,5.0,0.3
125,Janelt,MID,Brentford,4.9,0.1
126,Jensen,MID,Brentford,4.9,0.2
127,Nunes,MID,Brentford,4.9,0.0
128,Onyeka,MID,Brentford,4.8,0.0
129,Yarmoliuk,MID,Brentford,5.0,0.1
130,Donovan,MID,Brentford,4.4,0.1
131,Konak,MID,Brentford,4.3,0.1
132,Maghoma,MID,Brentford,4.5,0.0
133,Peart-Harris,MID,Brentford,4.4,0.0
134,Trevitt,MID,Brentford,4.5,0.0
135,Wissa,FWD,Newcastle,7.3,0.6
