team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Bayern Munich,5,17,9,3,12,6,5,3,2
Union Berlin,5,11,8,3,7,4,4,4,2
Stuttgart,5,11,11,2,4,2,7,9,3
Dortmund,5,10,5,2,7,2,3,3,3
RB Leipzig,5,10,11,2,5,2,5,9,3
Augsburg,5,9,8,2,4,2,5,6,3
Mainz,5,9,9,2,4,7,5,2,3
Leverkusen,5,9,8,3,6,4,3,4,2
Heidenheim,5,9,8,2,2,2,7,6,3
Freiburg,5,9,10,3,7,3,2,7,2
Hoffenheim,5,8,9,3,6,4,2,5,2
Hamburg,5,8,9,2,4,4,4,5,3
M'gladbach,5,7,4,3,6,1,1,3,2
Ein Frankfurt,5,7,11,3,4,7,3,4,2
FC Koln,5,6,13,2,2,5,4,8,3
Wolfsburg,5,6,4,2,0,1,6,3,3
Werder Bremen,5,5,8,3,4,6,1,2,2
St Pauli,5,4,10,3,3,6,1,4,2
