team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Bayern Munich,35,127,36,17,68,19,59,17,18
Stuttgart,35,75,49,18,34,16,41,33,17
Dortmund,35,70,35,18,40,17,30,18,17
Leverkusen,35,69,47,17,38,19,31,28,18
RB Leipzig,35,67,47,18,41,20,26,27,17
Hoffenheim,35,67,54,17,35,21,32,33,18
Ein Frankfurt,35,63,66,17,29,27,34,39,18
FC Koln,35,52,64,18,33,31,19,33,17
Freiburg,35,52,57,17,33,22,19,35,18
Augsburg,35,47,63,18,27,30,20,33,17
Wolfsburg,35,46,71,18,22,34,24,37,17
Union Berlin,35,45,61,17,26,26,19,35,18
Mainz,35,44,54,18,21,26,23,28,17
Heidenheim,35,44,73,18,26,38,18,35,17
M'gladbach,35,42,54,17,24,24,18,30,18
Hamburg,35,40,58,17,25,22,15,36,18
Werder Bremen,35,38,63,17,19,31,19,32,18
St Pauli,35,29,65,18,17,36,12,29,17
