team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Paris SG,37,78,29,18,42,12,36,17,19
Marseille,37,71,49,19,49,23,22,26,18
Lens,37,68,39,19,35,16,33,23,18
Monaco,37,64,60,18,36,24,28,36,19
Rennes,37,62,55,19,33,18,29,37,18
Strasbourg,37,62,48,18,31,19,31,29,19
Lille,37,60,40,18,25,17,35,23,19
Lyon,37,59,40,19,35,18,24,22,18
Paris FC,37,53,57,18,32,28,21,29,19
Lorient,37,52,54,18,35,25,17,29,19
Toulouse,36,50,50,19,27,28,23,22,17
Brest,37,47,62,19,32,28,15,34,18
Nice,37,41,63,20,23,30,18,33,17
Auxerre,37,36,47,19,19,17,17,30,18
Le Havre,37,35,50,18,21,20,14,30,19
Metz,37,33,83,18,15,33,18,50,19
Angers,37,31,51,18,19,20,12,31,19
Nantes,36,29,54,17,18,28,11,26,19
